# Upstream-format rows (REGION,TECHNOLOGY,YEAR,VALUE per otoole convention).
# NOT wired into t1_confection/OG_csvs_inputs -- for later manual promotion only.
scenario,REGION,TECHNOLOGY,YEAR,VALUE,change
BAU,GLOBAL,PWRNGSMEXXX,2027,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2028,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2029,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2030,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2031,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2032,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2033,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2034,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2035,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2036,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2037,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2038,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2039,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2040,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2041,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2042,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2043,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2044,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2045,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2046,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2047,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2048,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2049,47.2094,new
BAU,GLOBAL,PWRNGSMEXXX,2050,47.2094,new
BAU,GLOBAL,PWRPETECUXX,2027,2.7972,new
BAU,GLOBAL,PWRPETECUXX,2028,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2029,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2030,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2031,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2032,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2033,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2034,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2035,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2036,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2037,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2038,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2039,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2040,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2041,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2042,3.1126,new
BAU,GLOBAL,PWRPETECUXX,2043,3.1126,new
