REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSARGXX01,2023,52694.444444444445
GLOBAL,LDSARGXX01,2024,52694.444444444445
GLOBAL,LDSARGXX01,2025,52694.444444444445
GLOBAL,LDSARGXX01,2026,52694.444444444445
GLOBAL,LDSARGXX01,2027,52694.444444444445
GLOBAL,LDSARGXX01,2028,52694.444444444445
GLOBAL,LDSARGXX01,2029,52694.444444444445
GLOBAL,LDSARGXX01,2030,52694.444444444445
GLOBAL,LDSARGXX01,2031,52694.444444444445
GLOBAL,LDSARGXX01,2032,52694.444444444445
GLOBAL,LDSARGXX01,2033,52694.444444444445
GLOBAL,LDSARGXX01,2034,52694.444444444445
GLOBAL,LDSARGXX01,2035,52694.444444444445
GLOBAL,LDSARGXX01,2036,52694.444444444445
GLOBAL,LDSARGXX01,2037,52694.444444444445
GLOBAL,LDSARGXX01,2038,52694.444444444445
GLOBAL,LDSARGXX01,2039,52694.444444444445
GLOBAL,LDSARGXX01,2040,52694.444444444445
GLOBAL,LDSARGXX01,2041,52694.444444444445
GLOBAL,LDSARGXX01,2042,52694.444444444445
GLOBAL,LDSARGXX01,2043,52694.444444444445
GLOBAL,LDSARGXX01,2044,52694.444444444445
GLOBAL,LDSARGXX01,2045,52694.444444444445
GLOBAL,LDSARGXX01,2046,52694.444444444445
GLOBAL,LDSARGXX01,2047,52694.444444444445
GLOBAL,LDSARGXX01,2048,52694.444444444445
GLOBAL,LDSARGXX01,2049,52694.444444444445
GLOBAL,LDSARGXX01,2050,52694.444444444445
GLOBAL,LDSBOLXX01,2023,52694.444444444445
GLOBAL,LDSBOLXX01,2024,52694.444444444445
GLOBAL,LDSBOLXX01,2025,52694.444444444445
GLOBAL,LDSBOLXX01,2026,52694.444444444445
GLOBAL,LDSBOLXX01,2027,52694.444444444445
GLOBAL,LDSBOLXX01,2028,52694.444444444445
GLOBAL,LDSBOLXX01,2029,52694.444444444445
GLOBAL,LDSBOLXX01,2030,52694.444444444445
GLOBAL,LDSBOLXX01,2031,52694.444444444445
GLOBAL,LDSBOLXX01,2032,52694.444444444445
GLOBAL,LDSBOLXX01,2033,52694.444444444445
GLOBAL,LDSBOLXX01,2034,52694.444444444445
GLOBAL,LDSBOLXX01,2035,52694.444444444445
GLOBAL,LDSBOLXX01,2036,52694.444444444445
GLOBAL,LDSBOLXX01,2037,52694.444444444445
GLOBAL,LDSBOLXX01,2038,52694.444444444445
GLOBAL,LDSBOLXX01,2039,52694.444444444445
GLOBAL,LDSBOLXX01,2040,52694.444444444445
GLOBAL,LDSBOLXX01,2041,52694.444444444445
GLOBAL,LDSBOLXX01,2042,52694.444444444445
GLOBAL,LDSBOLXX01,2043,52694.444444444445
GLOBAL,LDSBOLXX01,2044,52694.444444444445
GLOBAL,LDSBOLXX01,2045,52694.444444444445
GLOBAL,LDSBOLXX01,2046,52694.444444444445
GLOBAL,LDSBOLXX01,2047,52694.444444444445
GLOBAL,LDSBOLXX01,2048,52694.444444444445
GLOBAL,LDSBOLXX01,2049,52694.444444444445
GLOBAL,LDSBOLXX01,2050,52694.444444444445
GLOBAL,LDSBRAXX01,2023,52694.444444444445
GLOBAL,LDSBRAXX01,2024,52694.444444444445
GLOBAL,LDSBRAXX01,2025,52694.444444444445
GLOBAL,LDSBRAXX01,2026,52694.444444444445
GLOBAL,LDSBRAXX01,2027,52694.444444444445
GLOBAL,LDSBRAXX01,2028,52694.444444444445
GLOBAL,LDSBRAXX01,2029,52694.444444444445
GLOBAL,LDSBRAXX01,2030,52694.444444444445
GLOBAL,LDSBRAXX01,2031,52694.444444444445
GLOBAL,LDSBRAXX01,2032,52694.444444444445
GLOBAL,LDSBRAXX01,2033,52694.444444444445
GLOBAL,LDSBRAXX01,2034,52694.444444444445
GLOBAL,LDSBRAXX01,2035,52694.444444444445
GLOBAL,LDSBRAXX01,2036,52694.444444444445
GLOBAL,LDSBRAXX01,2037,52694.444444444445
GLOBAL,LDSBRAXX01,2038,52694.444444444445
GLOBAL,LDSBRAXX01,2039,52694.444444444445
GLOBAL,LDSBRAXX01,2040,52694.444444444445
GLOBAL,LDSBRAXX01,2041,52694.444444444445
GLOBAL,LDSBRAXX01,2042,52694.444444444445
GLOBAL,LDSBRAXX01,2043,52694.444444444445
GLOBAL,LDSBRAXX01,2044,52694.444444444445
GLOBAL,LDSBRAXX01,2045,52694.444444444445
GLOBAL,LDSBRAXX01,2046,52694.444444444445
GLOBAL,LDSBRAXX01,2047,52694.444444444445
GLOBAL,LDSBRAXX01,2048,52694.444444444445
GLOBAL,LDSBRAXX01,2049,52694.444444444445
GLOBAL,LDSBRAXX01,2050,52694.444444444445
GLOBAL,LDSBRBXX01,2023,52694.444444444445
GLOBAL,LDSBRBXX01,2024,52694.444444444445
GLOBAL,LDSBRBXX01,2025,52694.444444444445
GLOBAL,LDSBRBXX01,2026,52694.444444444445
GLOBAL,LDSBRBXX01,2027,52694.444444444445
GLOBAL,LDSBRBXX01,2028,52694.444444444445
GLOBAL,LDSBRBXX01,2029,52694.444444444445
GLOBAL,LDSBRBXX01,2030,52694.444444444445
GLOBAL,LDSBRBXX01,2031,52694.444444444445
GLOBAL,LDSBRBXX01,2032,52694.444444444445
GLOBAL,LDSBRBXX01,2033,52694.444444444445
GLOBAL,LDSBRBXX01,2034,52694.444444444445
GLOBAL,LDSBRBXX01,2035,52694.444444444445
GLOBAL,LDSBRBXX01,2036,52694.444444444445
GLOBAL,LDSBRBXX01,2037,52694.444444444445
GLOBAL,LDSBRBXX01,2038,52694.444444444445
GLOBAL,LDSBRBXX01,2039,52694.444444444445
GLOBAL,LDSBRBXX01,2040,52694.444444444445
GLOBAL,LDSBRBXX01,2041,52694.444444444445
GLOBAL,LDSBRBXX01,2042,52694.444444444445
GLOBAL,LDSBRBXX01,2043,52694.444444444445
GLOBAL,LDSBRBXX01,2044,52694.444444444445
GLOBAL,LDSBRBXX01,2045,52694.444444444445
GLOBAL,LDSBRBXX01,2046,52694.444444444445
GLOBAL,LDSBRBXX01,2047,52694.444444444445
GLOBAL,LDSBRBXX01,2048,52694.444444444445
GLOBAL,LDSBRBXX01,2049,52694.444444444445
GLOBAL,LDSBRBXX01,2050,52694.444444444445
GLOBAL,LDSCHLXX01,2023,52694.444444444445
GLOBAL,LDSCHLXX01,2024,52694.444444444445
GLOBAL,LDSCHLXX01,2025,52694.444444444445
GLOBAL,LDSCHLXX01,2026,52694.444444444445
GLOBAL,LDSCHLXX01,2027,52694.444444444445
GLOBAL,LDSCHLXX01,2028,52694.444444444445
GLOBAL,LDSCHLXX01,2029,52694.444444444445
GLOBAL,LDSCHLXX01,2030,52694.444444444445
GLOBAL,LDSCHLXX01,2031,52694.444444444445
GLOBAL,LDSCHLXX01,2032,52694.444444444445
GLOBAL,LDSCHLXX01,2033,52694.444444444445
GLOBAL,LDSCHLXX01,2034,52694.444444444445
GLOBAL,LDSCHLXX01,2035,52694.444444444445
GLOBAL,LDSCHLXX01,2036,52694.444444444445
GLOBAL,LDSCHLXX01,2037,52694.444444444445
GLOBAL,LDSCHLXX01,2038,52694.444444444445
GLOBAL,LDSCHLXX01,2039,52694.444444444445
GLOBAL,LDSCHLXX01,2040,52694.444444444445
GLOBAL,LDSCHLXX01,2041,52694.444444444445
GLOBAL,LDSCHLXX01,2042,52694.444444444445
GLOBAL,LDSCHLXX01,2043,52694.444444444445
GLOBAL,LDSCHLXX01,2044,52694.444444444445
GLOBAL,LDSCHLXX01,2045,52694.444444444445
GLOBAL,LDSCHLXX01,2046,52694.444444444445
GLOBAL,LDSCHLXX01,2047,52694.444444444445
GLOBAL,LDSCHLXX01,2048,52694.444444444445
GLOBAL,LDSCHLXX01,2049,52694.444444444445
GLOBAL,LDSCHLXX01,2050,52694.444444444445
GLOBAL,LDSCOLXX01,2023,52694.444444444445
GLOBAL,LDSCOLXX01,2024,52694.444444444445
GLOBAL,LDSCOLXX01,2025,52694.444444444445
GLOBAL,LDSCOLXX01,2026,52694.444444444445
GLOBAL,LDSCOLXX01,2027,52694.444444444445
GLOBAL,LDSCOLXX01,2028,52694.444444444445
GLOBAL,LDSCOLXX01,2029,52694.444444444445
GLOBAL,LDSCOLXX01,2030,52694.444444444445
GLOBAL,LDSCOLXX01,2031,52694.444444444445
GLOBAL,LDSCOLXX01,2032,52694.444444444445
GLOBAL,LDSCOLXX01,2033,52694.444444444445
GLOBAL,LDSCOLXX01,2034,52694.444444444445
GLOBAL,LDSCOLXX01,2035,52694.444444444445
GLOBAL,LDSCOLXX01,2036,52694.444444444445
GLOBAL,LDSCOLXX01,2037,52694.444444444445
GLOBAL,LDSCOLXX01,2038,52694.444444444445
GLOBAL,LDSCOLXX01,2039,52694.444444444445
GLOBAL,LDSCOLXX01,2040,52694.444444444445
GLOBAL,LDSCOLXX01,2041,52694.444444444445
GLOBAL,LDSCOLXX01,2042,52694.444444444445
GLOBAL,LDSCOLXX01,2043,52694.444444444445
GLOBAL,LDSCOLXX01,2044,52694.444444444445
GLOBAL,LDSCOLXX01,2045,52694.444444444445
GLOBAL,LDSCOLXX01,2046,52694.444444444445
GLOBAL,LDSCOLXX01,2047,52694.444444444445
GLOBAL,LDSCOLXX01,2048,52694.444444444445
