REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBIOARGXX,30.0
GLOBAL,PWRBIOBOLXX,30.0
GLOBAL,PWRBIOBRAXX,30.0
GLOBAL,PWRBIOBRBXX,30.0
GLOBAL,PWRBIOCHLXX,30.0
GLOBAL,PWRBIOCOLXX,30.0
GLOBAL,PWRBIOCRIXX,30.0
GLOBAL,PWRBIODOMXX,30.0
GLOBAL,PWRBIOECUXX,30.0
GLOBAL,PWRBIOGTMXX,30.0
GLOBAL,PWRBIOHNDXX,30.0
GLOBAL,PWRBIOHTIXX,30.0
GLOBAL,PWRBIOMEXXX,30.0
GLOBAL,PWRBIONICXX,30.0
GLOBAL,PWRBIOPANXX,30.0
GLOBAL,PWRBIOPERXX,30.0
GLOBAL,PWRBIOPRYXX,30.0
GLOBAL,PWRBIOSLVXX,30.0
GLOBAL,PWRBIOURYXX,30.0
GLOBAL,PWRCCSARGXX,30.0
GLOBAL,PWRCCSBOLXX,30.0
GLOBAL,PWRCCSBRAXX,30.0
GLOBAL,PWRCCSBRBXX,30.0
GLOBAL,PWRCCSCHLXX,30.0
GLOBAL,PWRCCSCOLXX,30.0
GLOBAL,PWRCCSCRIXX,30.0
GLOBAL,PWRCCSDOMXX,30.0
GLOBAL,PWRCCSECUXX,30.0
GLOBAL,PWRCCSGTMXX,30.0
GLOBAL,PWRCCSHNDXX,30.0
GLOBAL,PWRCCSHTIXX,30.0
GLOBAL,PWRCCSMEXXX,30.0
GLOBAL,PWRCCSNICXX,30.0
GLOBAL,PWRCCSPANXX,30.0
GLOBAL,PWRCCSPERXX,30.0
GLOBAL,PWRCCSPRYXX,30.0
GLOBAL,PWRCCSSLVXX,30.0
GLOBAL,PWRCCSURYXX,30.0
GLOBAL,PWRCOAARGXX,30.0
GLOBAL,PWRCOABOLXX,30.0
GLOBAL,PWRCOABRAXX,30.0
GLOBAL,PWRCOABRBXX,30.0
GLOBAL,PWRCOACHLXX,30.0
GLOBAL,PWRCOACOLXX,30.0
GLOBAL,PWRCOACRIXX,30.0
GLOBAL,PWRCOADOMXX,30.0
GLOBAL,PWRCOAECUXX,30.0
GLOBAL,PWRCOAGTMXX,30.0
GLOBAL,PWRCOAHNDXX,30.0
GLOBAL,PWRCOAHTIXX,30.0
GLOBAL,PWRCOAMEXXX,30.0
GLOBAL,PWRCOANICXX,30.0
GLOBAL,PWRCOAPANXX,30.0
GLOBAL,PWRCOAPERXX,30.0
GLOBAL,PWRCOAPRYXX,30.0
GLOBAL,PWRCOASLVXX,30.0
GLOBAL,PWRCOAURYXX,30.0
GLOBAL,PWRCOGARGXX,30.0
GLOBAL,PWRCOGBOLXX,30.0
GLOBAL,PWRCOGBRAXX,30.0
GLOBAL,PWRCOGBRBXX,30.0
GLOBAL,PWRCOGCHLXX,30.0
GLOBAL,PWRCOGCOLXX,30.0
GLOBAL,PWRCOGCRIXX,30.0
GLOBAL,PWRCOGDOMXX,30.0
GLOBAL,PWRCOGECUXX,30.0
GLOBAL,PWRCOGGTMXX,30.0
GLOBAL,PWRCOGHNDXX,30.0
