REGION,STORAGE,VALUE
GLOBAL,LDSARGXX01,60.0
GLOBAL,LDSBOLXX01,60.0
GLOBAL,LDSBRAXX01,60.0
GLOBAL,LDSBRBXX01,60.0
GLOBAL,LDSCHLXX01,60.0
GLOBAL,LDSCOLXX01,60.0
GLOBAL,LDSCRIXX01,60.0
GLOBAL,LDSDOMXX01,60.0
GLOBAL,LDSECUXX01,60.0
GLOBAL,LDSGTMXX01,60.0
GLOBAL,LDSHNDXX01,60.0
GLOBAL,LDSHTIXX01,60.0
GLOBAL,LDSMEXXX01,60.0
GLOBAL,LDSNICXX01,60.0
GLOBAL,LDSPANXX01,60.0
GLOBAL,LDSPERXX01,60.0
GLOBAL,LDSPRYXX01,60.0
GLOBAL,LDSSLVXX01,60.0
GLOBAL,LDSURYXX01,60.0
GLOBAL,SDSARGXX01,30.0
GLOBAL,SDSBOLXX01,30.0
GLOBAL,SDSBRAXX01,30.0
GLOBAL,SDSBRBXX01,30.0
GLOBAL,SDSCHLXX01,30.0
GLOBAL,SDSCOLXX01,30.0
GLOBAL,SDSCRIXX01,30.0
GLOBAL,SDSDOMXX01,30.0
GLOBAL,SDSECUXX01,30.0
GLOBAL,SDSGTMXX01,30.0
GLOBAL,SDSHNDXX01,30.0
GLOBAL,SDSHTIXX01,30.0
GLOBAL,SDSMEXXX01,30.0
GLOBAL,SDSNICXX01,30.0
GLOBAL,SDSPANXX01,30.0
GLOBAL,SDSPERXX01,30.0
GLOBAL,SDSPRYXX01,30.0
GLOBAL,SDSSLVXX01,30.0
GLOBAL,SDSURYXX01,30.0
