REGION,FUEL,YEAR,VALUE
GLOBAL,ELCARGXX02,2023,555.91
GLOBAL,ELCARGXX02,2024,555.91
GLOBAL,ELCARGXX02,2025,555.91
GLOBAL,ELCARGXX02,2026,567.9
GLOBAL,ELCARGXX02,2027,579.88
GLOBAL,ELCARGXX02,2028,591.87
GLOBAL,ELCARGXX02,2029,603.85
GLOBAL,ELCARGXX02,2030,615.83
GLOBAL,ELCARGXX02,2031,630.22
GLOBAL,ELCARGXX02,2032,644.61
GLOBAL,ELCARGXX02,2033,659.0
GLOBAL,ELCARGXX02,2034,673.38
GLOBAL,ELCARGXX02,2035,687.77
GLOBAL,ELCARGXX02,2036,703.0
GLOBAL,ELCARGXX02,2037,718.23
GLOBAL,ELCARGXX02,2038,733.46
GLOBAL,ELCARGXX02,2039,748.7
GLOBAL,ELCARGXX02,2040,763.93
GLOBAL,ELCARGXX02,2041,778.81
GLOBAL,ELCARGXX02,2042,793.69
GLOBAL,ELCARGXX02,2043,808.58
GLOBAL,ELCARGXX02,2044,823.46
GLOBAL,ELCARGXX02,2045,838.34
GLOBAL,ELCARGXX02,2046,853.52
GLOBAL,ELCARGXX02,2047,868.7
GLOBAL,ELCARGXX02,2048,883.88
GLOBAL,ELCARGXX02,2049,899.06
GLOBAL,ELCARGXX02,2050,914.23
GLOBAL,ELCBOLXX02,2023,48.49
GLOBAL,ELCBOLXX02,2024,50.57
GLOBAL,ELCBOLXX02,2025,52.65
GLOBAL,ELCBOLXX02,2026,55.07
GLOBAL,ELCBOLXX02,2027,57.49
GLOBAL,ELCBOLXX02,2028,59.92
GLOBAL,ELCBOLXX02,2029,62.34
GLOBAL,ELCBOLXX02,2030,64.76
GLOBAL,ELCBOLXX02,2031,67.46
GLOBAL,ELCBOLXX02,2032,70.16
GLOBAL,ELCBOLXX02,2033,72.85
GLOBAL,ELCBOLXX02,2034,75.55
GLOBAL,ELCBOLXX02,2035,78.25
GLOBAL,ELCBOLXX02,2036,81.34
GLOBAL,ELCBOLXX02,2037,84.43
GLOBAL,ELCBOLXX02,2038,87.52
GLOBAL,ELCBOLXX02,2039,90.61
GLOBAL,ELCBOLXX02,2040,93.7
GLOBAL,ELCBOLXX02,2041,97.23
GLOBAL,ELCBOLXX02,2042,100.76
GLOBAL,ELCBOLXX02,2043,104.29
GLOBAL,ELCBOLXX02,2044,107.82
GLOBAL,ELCBOLXX02,2045,111.35
GLOBAL,ELCBOLXX02,2046,115.41
GLOBAL,ELCBOLXX02,2047,119.46
GLOBAL,ELCBOLXX02,2048,123.52
GLOBAL,ELCBOLXX02,2049,127.58
GLOBAL,ELCBOLXX02,2050,131.63
GLOBAL,ELCBRAXX02,2023,2217.88
GLOBAL,ELCBRAXX02,2024,2217.88
GLOBAL,ELCBRAXX02,2025,2217.88
GLOBAL,ELCBRAXX02,2026,2217.88
GLOBAL,ELCBRAXX02,2027,2217.88
GLOBAL,ELCBRAXX02,2028,2217.88
GLOBAL,ELCBRAXX02,2029,2217.88
GLOBAL,ELCBRAXX02,2030,2217.88
GLOBAL,ELCBRAXX02,2031,2239.3900000000003
GLOBAL,ELCBRAXX02,2032,2260.91
GLOBAL,ELCBRAXX02,2033,2282.45
GLOBAL,ELCBRAXX02,2034,2303.96
GLOBAL,ELCBRAXX02,2035,2325.48
GLOBAL,ELCBRAXX02,2036,2365.7
GLOBAL,ELCBRAXX02,2037,2405.9500000000003
GLOBAL,ELCBRAXX02,2038,2446.19
GLOBAL,ELCBRAXX02,2039,2486.43
GLOBAL,ELCBRAXX02,2040,2526.68
GLOBAL,ELCBRAXX02,2041,2565.7
GLOBAL,ELCBRAXX02,2042,2604.71
GLOBAL,ELCBRAXX02,2043,2643.73
GLOBAL,ELCBRAXX02,2044,2682.73
GLOBAL,ELCBRAXX02,2045,2721.76
GLOBAL,ELCBRAXX02,2046,2761.04
GLOBAL,ELCBRAXX02,2047,2800.3100000000004
GLOBAL,ELCBRAXX02,2048,2839.59
GLOBAL,ELCBRAXX02,2049,2878.87
GLOBAL,ELCBRAXX02,2050,2918.15
GLOBAL,ELCBRBXX02,2023,14.87
GLOBAL,ELCBRBXX02,2024,14.87
GLOBAL,ELCBRBXX02,2025,14.87
GLOBAL,ELCBRBXX02,2026,14.87
GLOBAL,ELCBRBXX02,2027,14.87
GLOBAL,ELCBRBXX02,2028,14.87
GLOBAL,ELCBRBXX02,2029,14.87
GLOBAL,ELCBRBXX02,2030,14.87
GLOBAL,ELCBRBXX02,2031,14.87
GLOBAL,ELCBRBXX02,2032,14.87
GLOBAL,ELCBRBXX02,2033,14.87
GLOBAL,ELCBRBXX02,2034,14.87
GLOBAL,ELCBRBXX02,2035,14.87
GLOBAL,ELCBRBXX02,2036,14.87
GLOBAL,ELCBRBXX02,2037,14.87
GLOBAL,ELCBRBXX02,2038,14.87
GLOBAL,ELCBRBXX02,2039,14.87
GLOBAL,ELCBRBXX02,2040,14.87
GLOBAL,ELCBRBXX02,2041,14.88
GLOBAL,ELCBRBXX02,2042,14.88
GLOBAL,ELCBRBXX02,2043,14.89
GLOBAL,ELCBRBXX02,2044,14.9
GLOBAL,ELCBRBXX02,2045,14.9
GLOBAL,ELCBRBXX02,2046,15.73
GLOBAL,ELCBRBXX02,2047,16.55
GLOBAL,ELCBRBXX02,2048,17.37
GLOBAL,ELCBRBXX02,2049,18.19
GLOBAL,ELCBRBXX02,2050,19.02
GLOBAL,ELCCHLXX02,2023,271.4
GLOBAL,ELCCHLXX02,2024,271.4
GLOBAL,ELCCHLXX02,2025,271.4
GLOBAL,ELCCHLXX02,2026,271.4
GLOBAL,ELCCHLXX02,2027,271.4
GLOBAL,ELCCHLXX02,2028,271.4
GLOBAL,ELCCHLXX02,2029,271.4
GLOBAL,ELCCHLXX02,2030,271.4
GLOBAL,ELCCHLXX02,2031,272.9
GLOBAL,ELCCHLXX02,2032,274.4
GLOBAL,ELCCHLXX02,2033,275.89
GLOBAL,ELCCHLXX02,2034,277.39
GLOBAL,ELCCHLXX02,2035,278.88
GLOBAL,ELCCHLXX02,2036,284.94
GLOBAL,ELCCHLXX02,2037,291.0
GLOBAL,ELCCHLXX02,2038,297.06
GLOBAL,ELCCHLXX02,2039,303.12
GLOBAL,ELCCHLXX02,2040,309.19
GLOBAL,ELCCHLXX02,2041,315.49
GLOBAL,ELCCHLXX02,2042,321.79
GLOBAL,ELCCHLXX02,2043,328.1
GLOBAL,ELCCHLXX02,2044,334.4
GLOBAL,ELCCHLXX02,2045,340.71
GLOBAL,ELCCHLXX02,2046,347.0
GLOBAL,ELCCHLXX02,2047,353.29
GLOBAL,ELCCHLXX02,2048,359.58
GLOBAL,ELCCHLXX02,2049,365.87
GLOBAL,ELCCHLXX02,2050,372.16
GLOBAL,ELCCOLXX02,2023,383.28
GLOBAL,ELCCOLXX02,2024,393.61
GLOBAL,ELCCOLXX02,2025,403.93
GLOBAL,ELCCOLXX02,2026,415.72
GLOBAL,ELCCOLXX02,2027,427.5
GLOBAL,ELCCOLXX02,2028,439.29
GLOBAL,ELCCOLXX02,2029,451.08
GLOBAL,ELCCOLXX02,2030,462.86
GLOBAL,ELCCOLXX02,2031,475.69
GLOBAL,ELCCOLXX02,2032,488.52
GLOBAL,ELCCOLXX02,2033,501.35
GLOBAL,ELCCOLXX02,2034,514.17
GLOBAL,ELCCOLXX02,2035,527.0
GLOBAL,ELCCOLXX02,2036,541.29
GLOBAL,ELCCOLXX02,2037,555.58
GLOBAL,ELCCOLXX02,2038,569.86
GLOBAL,ELCCOLXX02,2039,584.15
GLOBAL,ELCCOLXX02,2040,598.44
GLOBAL,ELCCOLXX02,2041,614.0
GLOBAL,ELCCOLXX02,2042,629.56
GLOBAL,ELCCOLXX02,2043,645.13
GLOBAL,ELCCOLXX02,2044,660.69
GLOBAL,ELCCOLXX02,2045,676.26
GLOBAL,ELCCOLXX02,2046,692.94
GLOBAL,ELCCOLXX02,2047,709.63
GLOBAL,ELCCOLXX02,2048,726.31
GLOBAL,ELCCOLXX02,2049,743.0
GLOBAL,ELCCOLXX02,2050,759.68
GLOBAL,ELCCRIXX02,2023,45.41
GLOBAL,ELCCRIXX02,2024,47.7
GLOBAL,ELCCRIXX02,2025,50.0
GLOBAL,ELCCRIXX02,2026,52.7
GLOBAL,ELCCRIXX02,2027,55.41
GLOBAL,ELCCRIXX02,2028,58.11
GLOBAL,ELCCRIXX02,2029,60.82
GLOBAL,ELCCRIXX02,2030,63.53
GLOBAL,ELCCRIXX02,2031,66.49
GLOBAL,ELCCRIXX02,2032,69.45
GLOBAL,ELCCRIXX02,2033,72.41
GLOBAL,ELCCRIXX02,2034,75.37
GLOBAL,ELCCRIXX02,2035,78.33
GLOBAL,ELCCRIXX02,2036,81.68
GLOBAL,ELCCRIXX02,2037,85.03
GLOBAL,ELCCRIXX02,2038,88.37
GLOBAL,ELCCRIXX02,2039,91.72
GLOBAL,ELCCRIXX02,2040,95.07
GLOBAL,ELCCRIXX02,2041,98.71
GLOBAL,ELCCRIXX02,2042,102.36
GLOBAL,ELCCRIXX02,2043,106.0
GLOBAL,ELCCRIXX02,2044,109.64
GLOBAL,ELCCRIXX02,2045,113.29
GLOBAL,ELCCRIXX02,2046,117.13
GLOBAL,ELCCRIXX02,2047,120.96
GLOBAL,ELCCRIXX02,2048,124.8
GLOBAL,ELCCRIXX02,2049,128.64
GLOBAL,ELCCRIXX02,2050,132.47
GLOBAL,ELCDOMXX02,2023,66.8
GLOBAL,ELCDOMXX02,2024,66.92
GLOBAL,ELCDOMXX02,2025,67.03
GLOBAL,ELCDOMXX02,2026,71.7
GLOBAL,ELCDOMXX02,2027,76.37
GLOBAL,ELCDOMXX02,2028,81.04
GLOBAL,ELCDOMXX02,2029,85.7
GLOBAL,ELCDOMXX02,2030,90.37
GLOBAL,ELCDOMXX02,2031,95.44
GLOBAL,ELCDOMXX02,2032,100.51
GLOBAL,ELCDOMXX02,2033,105.58
GLOBAL,ELCDOMXX02,2034,110.65
GLOBAL,ELCDOMXX02,2035,115.72
GLOBAL,ELCDOMXX02,2036,121.48
GLOBAL,ELCDOMXX02,2037,127.23
GLOBAL,ELCDOMXX02,2038,132.98
GLOBAL,ELCDOMXX02,2039,138.73
GLOBAL,ELCDOMXX02,2040,144.49
GLOBAL,ELCDOMXX02,2041,150.83
GLOBAL,ELCDOMXX02,2042,157.18
GLOBAL,ELCDOMXX02,2043,163.53
GLOBAL,ELCDOMXX02,2044,169.88
GLOBAL,ELCDOMXX02,2045,176.23
GLOBAL,ELCDOMXX02,2046,183.07
GLOBAL,ELCDOMXX02,2047,189.91
GLOBAL,ELCDOMXX02,2048,196.75
GLOBAL,ELCDOMXX02,2049,203.59
GLOBAL,ELCDOMXX02,2050,210.44
GLOBAL,ELCECUXX02,2023,97.41
GLOBAL,ELCECUXX02,2024,98.33
GLOBAL,ELCECUXX02,2025,99.26
GLOBAL,ELCECUXX02,2026,102.44
GLOBAL,ELCECUXX02,2027,105.63
GLOBAL,ELCECUXX02,2028,108.81
GLOBAL,ELCECUXX02,2029,111.99
GLOBAL,ELCECUXX02,2030,115.18
GLOBAL,ELCECUXX02,2031,118.64
GLOBAL,ELCECUXX02,2032,122.11
GLOBAL,ELCECUXX02,2033,125.58
GLOBAL,ELCECUXX02,2034,129.04
GLOBAL,ELCECUXX02,2035,132.51
GLOBAL,ELCECUXX02,2036,136.51
GLOBAL,ELCECUXX02,2037,140.51
GLOBAL,ELCECUXX02,2038,144.51
GLOBAL,ELCECUXX02,2039,148.52
GLOBAL,ELCECUXX02,2040,152.52
GLOBAL,ELCECUXX02,2041,157.16
GLOBAL,ELCECUXX02,2042,161.81
GLOBAL,ELCECUXX02,2043,166.46
GLOBAL,ELCECUXX02,2044,171.1
GLOBAL,ELCECUXX02,2045,175.75
GLOBAL,ELCECUXX02,2046,181.04
GLOBAL,ELCECUXX02,2047,186.33
GLOBAL,ELCECUXX02,2048,191.61
GLOBAL,ELCECUXX02,2049,196.9
GLOBAL,ELCECUXX02,2050,202.19
GLOBAL,ELCGTMXX02,2023,38.02
GLOBAL,ELCGTMXX02,2024,38.02
GLOBAL,ELCGTMXX02,2025,38.02
GLOBAL,ELCGTMXX02,2026,38.02
GLOBAL,ELCGTMXX02,2027,38.02
GLOBAL,ELCGTMXX02,2028,38.02
GLOBAL,ELCGTMXX02,2029,38.02
GLOBAL,ELCGTMXX02,2030,38.02
GLOBAL,ELCGTMXX02,2031,38.02
GLOBAL,ELCGTMXX02,2032,38.02
GLOBAL,ELCGTMXX02,2033,38.02
GLOBAL,ELCGTMXX02,2034,38.02
GLOBAL,ELCGTMXX02,2035,38.02
GLOBAL,ELCGTMXX02,2036,40.54
GLOBAL,ELCGTMXX02,2037,43.06
GLOBAL,ELCGTMXX02,2038,45.58
GLOBAL,ELCGTMXX02,2039,48.09
GLOBAL,ELCGTMXX02,2040,50.61
GLOBAL,ELCGTMXX02,2041,59.0
GLOBAL,ELCGTMXX02,2042,67.38
GLOBAL,ELCGTMXX02,2043,75.77
