REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOARGXX,2023,0.0
GLOBAL,PWRBIOARGXX,2024,0.0
GLOBAL,PWRBIOARGXX,2025,0.0
GLOBAL,PWRBIOARGXX,2026,0.0
GLOBAL,PWRBIOARGXX,2027,0.0
GLOBAL,PWRBIOARGXX,2028,0.0
GLOBAL,PWRBIOARGXX,2029,0.0
GLOBAL,PWRBIOARGXX,2030,0.0
GLOBAL,PWRBIOARGXX,2031,0.0
GLOBAL,PWRBIOARGXX,2032,0.0
GLOBAL,PWRBIOARGXX,2033,0.0
GLOBAL,PWRBIOARGXX,2034,0.0
GLOBAL,PWRBIOARGXX,2035,0.0
GLOBAL,PWRBIOARGXX,2036,0.0
GLOBAL,PWRBIOARGXX,2037,0.0
GLOBAL,PWRBIOARGXX,2038,0.0
GLOBAL,PWRBIOARGXX,2039,0.0
GLOBAL,PWRBIOARGXX,2040,0.0
GLOBAL,PWRBIOARGXX,2041,0.0
GLOBAL,PWRBIOARGXX,2042,0.0
GLOBAL,PWRBIOARGXX,2043,0.0
GLOBAL,PWRBIOARGXX,2044,0.0
GLOBAL,PWRBIOARGXX,2045,0.0
GLOBAL,PWRBIOARGXX,2046,0.0
GLOBAL,PWRBIOARGXX,2047,0.0
GLOBAL,PWRBIOARGXX,2048,0.0
GLOBAL,PWRBIOARGXX,2049,0.0
GLOBAL,PWRBIOARGXX,2050,0.0
GLOBAL,PWRBIOBOLXX,2023,0.0
GLOBAL,PWRBIOBOLXX,2024,0.0
GLOBAL,PWRBIOBOLXX,2025,0.0
GLOBAL,PWRBIOBOLXX,2026,0.0
GLOBAL,PWRBIOBOLXX,2027,0.0
GLOBAL,PWRBIOBOLXX,2028,0.0
GLOBAL,PWRBIOBOLXX,2029,0.0
GLOBAL,PWRBIOBOLXX,2030,0.0
GLOBAL,PWRBIOBOLXX,2031,0.0
GLOBAL,PWRBIOBOLXX,2032,0.0
GLOBAL,PWRBIOBOLXX,2033,0.0
GLOBAL,PWRBIOBOLXX,2034,0.0
GLOBAL,PWRBIOBOLXX,2035,0.0
GLOBAL,PWRBIOBOLXX,2036,0.0
GLOBAL,PWRBIOBOLXX,2037,0.0
GLOBAL,PWRBIOBOLXX,2038,0.0
GLOBAL,PWRBIOBOLXX,2039,0.0
GLOBAL,PWRBIOBOLXX,2040,0.0
GLOBAL,PWRBIOBOLXX,2041,0.0
GLOBAL,PWRBIOBOLXX,2042,0.0
GLOBAL,PWRBIOBOLXX,2043,0.0
GLOBAL,PWRBIOBOLXX,2044,0.0
GLOBAL,PWRBIOBOLXX,2045,0.0
GLOBAL,PWRBIOBOLXX,2046,0.0
GLOBAL,PWRBIOBOLXX,2047,0.0
GLOBAL,PWRBIOBOLXX,2048,0.0
GLOBAL,PWRBIOBOLXX,2049,0.0
GLOBAL,PWRBIOBOLXX,2050,0.0
GLOBAL,PWRBIOBRAXX,2023,0.0
GLOBAL,PWRBIOBRAXX,2024,0.0
GLOBAL,PWRBIOBRAXX,2025,0.0
GLOBAL,PWRBIOBRAXX,2026,0.0
GLOBAL,PWRBIOBRAXX,2027,0.0
GLOBAL,PWRBIOBRAXX,2028,0.0
GLOBAL,PWRBIOBRAXX,2029,0.0
GLOBAL,PWRBIOBRAXX,2030,0.0
GLOBAL,PWRBIOBRAXX,2031,0.0
GLOBAL,PWRBIOBRAXX,2032,0.0
GLOBAL,PWRBIOBRAXX,2033,0.0
GLOBAL,PWRBIOBRAXX,2034,0.0
GLOBAL,PWRBIOBRAXX,2035,0.0
GLOBAL,PWRBIOBRAXX,2036,0.0
GLOBAL,PWRBIOBRAXX,2037,0.0
GLOBAL,PWRBIOBRAXX,2038,0.0
GLOBAL,PWRBIOBRAXX,2039,0.0
GLOBAL,PWRBIOBRAXX,2040,0.0
GLOBAL,PWRBIOBRAXX,2041,0.0
GLOBAL,PWRBIOBRAXX,2042,0.0
GLOBAL,PWRBIOBRAXX,2043,0.0
GLOBAL,PWRBIOBRAXX,2044,0.0
GLOBAL,PWRBIOBRAXX,2045,0.0
GLOBAL,PWRBIOBRAXX,2046,0.0
GLOBAL,PWRBIOBRAXX,2047,0.0
GLOBAL,PWRBIOBRAXX,2048,0.0
GLOBAL,PWRBIOBRAXX,2049,0.0
GLOBAL,PWRBIOBRAXX,2050,0.0
GLOBAL,PWRBIOBRBXX,2023,0.0
GLOBAL,PWRBIOBRBXX,2024,0.0
GLOBAL,PWRBIOBRBXX,2025,0.0
GLOBAL,PWRBIOBRBXX,2026,0.0
GLOBAL,PWRBIOBRBXX,2027,0.0
GLOBAL,PWRBIOBRBXX,2028,0.0
GLOBAL,PWRBIOBRBXX,2029,0.0
GLOBAL,PWRBIOBRBXX,2030,0.0
GLOBAL,PWRBIOBRBXX,2031,0.0
GLOBAL,PWRBIOBRBXX,2032,0.0
GLOBAL,PWRBIOBRBXX,2033,0.0
GLOBAL,PWRBIOBRBXX,2034,0.0
GLOBAL,PWRBIOBRBXX,2035,0.0
GLOBAL,PWRBIOBRBXX,2036,0.0
GLOBAL,PWRBIOBRBXX,2037,0.0
GLOBAL,PWRBIOBRBXX,2038,0.0
GLOBAL,PWRBIOBRBXX,2039,0.0
GLOBAL,PWRBIOBRBXX,2040,0.0
GLOBAL,PWRBIOBRBXX,2041,0.0
GLOBAL,PWRBIOBRBXX,2042,0.0
GLOBAL,PWRBIOBRBXX,2043,0.0
GLOBAL,PWRBIOBRBXX,2044,0.0
GLOBAL,PWRBIOBRBXX,2045,0.0
GLOBAL,PWRBIOBRBXX,2046,0.0
GLOBAL,PWRBIOBRBXX,2047,0.0
GLOBAL,PWRBIOBRBXX,2048,0.0
GLOBAL,PWRBIOBRBXX,2049,0.0
GLOBAL,PWRBIOBRBXX,2050,0.0
GLOBAL,PWRBIOCHLXX,2023,0.0
GLOBAL,PWRBIOCHLXX,2024,0.0
GLOBAL,PWRBIOCHLXX,2025,0.0
GLOBAL,PWRBIOCHLXX,2026,0.0
GLOBAL,PWRBIOCHLXX,2027,0.0
GLOBAL,PWRBIOCHLXX,2028,0.0
GLOBAL,PWRBIOCHLXX,2029,0.0
GLOBAL,PWRBIOCHLXX,2030,0.0
GLOBAL,PWRBIOCHLXX,2031,0.0
