# THE SWAPPABLE INPUT of the dispatch-floor pipeline. write_floors.py,
# input_comparison_report and test_outputs.py read floors from THIS FILE
# ONLY. Floors the full fossil fleet (relac_io.nonren_floor_techs), on a
# residual+forced basis, 2027-2050 only (2023-2026 frozen). COMMITTED
# scenarios (OPT,VGB) use a flat plan-grounded/historical CF; PERMISSIVE
# scenarios (BAU,INV) start at the committed plan-grounded/historical CF
# and decline after HOLD_UNTIL=2030 to KEEP_WARM=0.05 by 2050. To change
# a CF: edit PLAN_GROUNDED / CF_BY_FUEL_FALLBACK
# in make_candidates.py and re-run it, then re-run write_floors.py.
Scenario,TECHNOLOGY,country,fuel,YEAR,fleet_GW,forced_GW,residual_GW,contracted_CF,cf_source,cf_quality,floor_PJ,profile,status,commissioning_year
BAU,PWRCOAARGXX,ARG,COA,2027,0.65,0.0,0.65,0.37,plan_grounded,proxy,7.5844,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2028,0.65,0.0,0.65,0.37,plan_grounded,proxy,7.5844,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2029,0.65,0.0,0.65,0.37,plan_grounded,proxy,7.5844,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2030,0.65,0.0,0.65,0.37,plan_grounded,proxy,7.5844,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2031,0.65,0.0,0.65,0.354,plan_grounded,proxy,7.2564,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2032,0.65,0.0,0.65,0.338,plan_grounded,proxy,6.9285,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2033,0.65,0.0,0.65,0.322,plan_grounded,proxy,6.6005,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2034,0.65,0.0,0.65,0.306,plan_grounded,proxy,6.2725,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2035,0.65,0.0,0.65,0.29,plan_grounded,proxy,5.9445,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAARGXX,ARG,COA,2036,0.65,0.0,0.65,0.274,plan_grounded,proxy,5.6166,PERMISSIVE,CALIBRATED - pending PI sign-off,
