PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionld,INV,,,,,,,S1D1,,1,,,1
Conversionld,INV,,,,,,,S1D2,,1,,,1
Conversionld,INV,,,,,,,S1D3,,1,,,1
Conversionld,INV,,,,,,,S2D1,,1,,,1
Conversionld,INV,,,,,,,S2D2,,1,,,1
Conversionld,INV,,,,,,,S2D3,,1,,,1
Conversionld,INV,,,,,,,S3D1,,1,,,1
Conversionld,INV,,,,,,,S3D2,,1,,,1
Conversionld,INV,,,,,,,S3D3,,1,,,1
Conversionld,INV,,,,,,,S4D1,,1,,,1
Conversionld,INV,,,,,,,S4D2,,1,,,1
Conversionld,INV,,,,,,,S4D3,,1,,,1
