PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,INV,GLOBAL,PWRBCKARGXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKBOLXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKBRAXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKBRBXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKCHLXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKCOLXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKCRIXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKDOMXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKECUXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKGTMXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKHNDXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKHTIXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKMEXXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKNICXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKPANXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKPERXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKPRYXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKSLVXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBCKURYXX,,,,,,,,,,1.0
OperationalLife,INV,GLOBAL,PWRBIOARGXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOBOLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOBRAXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOBRBXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOCHLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOCOLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOCRIXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIODOMXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOECUXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOGTMXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOHNDXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOHTIXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOMEXXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIONICXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOPANXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOPERXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOPRYXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOSLVXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRBIOURYXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSARGXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSBOLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSBRAXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSBRBXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSCHLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSCOLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSCRIXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSDOMXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSECUXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSGTMXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSHNDXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSHTIXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSMEXXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSNICXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSPANXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSPERXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSPRYXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSSLVXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCCSURYXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOAARGXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOABOLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOABRAXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOABRBXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOACHLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOACOLXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOACRIXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOADOMXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOAECUXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOAGTMXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOAHNDXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOAHTIXX,,,,,,,,,,30.0
OperationalLife,INV,GLOBAL,PWRCOAMEXXX,,,,,,,,,,30.0
