PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBCKURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBIOARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBIOBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBIOBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,OPT,GLOBAL,PWRBIOBRBXX,,,,,,,,,,31.536
