PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSARGXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSBOLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSBRAXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSBRBXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSCHLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSCOLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSCRIXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSDOMXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSECUXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSGTMXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSHNDXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSHTIXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSMEXXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSNICXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSPANXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSPERXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSPRYXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSSLVXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,LDSURYXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSARGXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSBOLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSBRAXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSBRBXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSCHLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSCOLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSCRIXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSDOMXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSECUXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSGTMXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSHNDXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSHTIXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSMEXXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSNICXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSPANXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSPERXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSPRYXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSSLVXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,SDSURYXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,BDSCHLXX01,0
StorageLevelStart,OPT,GLOBAL,,,,,,,,,,BDSPERXX01,0
