PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionld,VGB,,,,,,,S1D1,,1,,,1
Conversionld,VGB,,,,,,,S1D2,,1,,,1
Conversionld,VGB,,,,,,,S1D3,,1,,,1
Conversionld,VGB,,,,,,,S2D1,,1,,,1
Conversionld,VGB,,,,,,,S2D2,,1,,,1
Conversionld,VGB,,,,,,,S2D3,,1,,,1
Conversionld,VGB,,,,,,,S3D1,,1,,,1
Conversionld,VGB,,,,,,,S3D2,,1,,,1
Conversionld,VGB,,,,,,,S3D3,,1,,,1
Conversionld,VGB,,,,,,,S4D1,,1,,,1
Conversionld,VGB,,,,,,,S4D2,,1,,,1
Conversionld,VGB,,,,,,,S4D3,,1,,,1
