PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionlh,VGB,,,,,,,S1D1,,,1,,1
Conversionlh,VGB,,,,,,,S1D1,,,2,,0
Conversionlh,VGB,,,,,,,S1D1,,,3,,0
Conversionlh,VGB,,,,,,,S1D2,,,1,,0
Conversionlh,VGB,,,,,,,S1D2,,,2,,1
Conversionlh,VGB,,,,,,,S1D2,,,3,,0
Conversionlh,VGB,,,,,,,S1D3,,,1,,0
Conversionlh,VGB,,,,,,,S1D3,,,2,,0
Conversionlh,VGB,,,,,,,S1D3,,,3,,1
Conversionlh,VGB,,,,,,,S2D1,,,1,,1
Conversionlh,VGB,,,,,,,S2D1,,,2,,0
Conversionlh,VGB,,,,,,,S2D1,,,3,,0
Conversionlh,VGB,,,,,,,S2D2,,,1,,0
Conversionlh,VGB,,,,,,,S2D2,,,2,,1
Conversionlh,VGB,,,,,,,S2D2,,,3,,0
Conversionlh,VGB,,,,,,,S2D3,,,1,,0
Conversionlh,VGB,,,,,,,S2D3,,,2,,0
Conversionlh,VGB,,,,,,,S2D3,,,3,,1
Conversionlh,VGB,,,,,,,S3D1,,,1,,1
Conversionlh,VGB,,,,,,,S3D1,,,2,,0
Conversionlh,VGB,,,,,,,S3D1,,,3,,0
Conversionlh,VGB,,,,,,,S3D2,,,1,,0
Conversionlh,VGB,,,,,,,S3D2,,,2,,1
Conversionlh,VGB,,,,,,,S3D2,,,3,,0
Conversionlh,VGB,,,,,,,S3D3,,,1,,0
Conversionlh,VGB,,,,,,,S3D3,,,2,,0
Conversionlh,VGB,,,,,,,S3D3,,,3,,1
Conversionlh,VGB,,,,,,,S4D1,,,1,,1
Conversionlh,VGB,,,,,,,S4D1,,,2,,0
Conversionlh,VGB,,,,,,,S4D1,,,3,,0
Conversionlh,VGB,,,,,,,S4D2,,,1,,0
Conversionlh,VGB,,,,,,,S4D2,,,2,,1
Conversionlh,VGB,,,,,,,S4D2,,,3,,0
Conversionlh,VGB,,,,,,,S4D3,,,1,,0
Conversionlh,VGB,,,,,,,S4D3,,,2,,0
Conversionlh,VGB,,,,,,,S4D3,,,3,,1
