PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSARGXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSBOLXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSBRAXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSBRBXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSCHLXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSCOLXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSCRIXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSDOMXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSECUXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSGTMXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSHNDXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSHTIXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSMEXXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSNICXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSPANXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSPERXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSPRYXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSSLVXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,LDSURYXX01,60
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSARGXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSBOLXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSBRAXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSBRBXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSCHLXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSCOLXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSCRIXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSDOMXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSECUXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSGTMXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSHNDXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSHTIXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSMEXXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSNICXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSPANXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSPERXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSPRYXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSSLVXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,SDSURYXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,BDSCHLXX01,30
OperationalLifeStorage,VGB,GLOBAL,,,,,,,,,,BDSPERXX01,30
