PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2023,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2024,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2025,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2026,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2027,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2028,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2029,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2030,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2031,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2032,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2033,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2034,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2035,,,,,,0.0035
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2036,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2037,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2038,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2039,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2040,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2041,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2042,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2043,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2044,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2045,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2046,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2047,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2048,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2049,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRBIOBRBXX,,,,2050,,,,,,0.0028
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2023,,,,,,0.1482
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2024,,,,,,0.1554
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2025,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2026,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2027,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2028,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2029,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2030,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2031,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2032,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2033,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2034,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2035,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2036,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2037,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2038,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2039,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2040,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2041,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2042,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2043,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2044,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2045,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2046,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2047,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2048,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2049,,,,,,0.0
TotalAnnualMaxCapacityInvestment,VGB,GLOBAL,PWRPETPANXX,,,,2050,,,,,,0.0
