REGION,TECHNOLOGY,VALUE
GLOBAL,DSPTRNARGXX,20.0
GLOBAL,DSPTRNBOLXX,20.0
GLOBAL,DSPTRNBRAXX,20.0
GLOBAL,DSPTRNBRBXX,20.0
GLOBAL,DSPTRNCHLXX,20.0
GLOBAL,DSPTRNCOLXX,20.0
GLOBAL,DSPTRNCRIXX,20.0
GLOBAL,DSPTRNDOMXX,20.0
GLOBAL,DSPTRNECUXX,20.0
GLOBAL,DSPTRNGTMXX,20.0
GLOBAL,DSPTRNHNDXX,20.0
GLOBAL,DSPTRNHTIXX,20.0
GLOBAL,DSPTRNMEXXX,20.0
GLOBAL,DSPTRNNICXX,20.0
GLOBAL,DSPTRNPANXX,20.0
GLOBAL,DSPTRNPERXX,20.0
GLOBAL,DSPTRNPRYXX,20.0
GLOBAL,DSPTRNSLVXX,20.0
GLOBAL,DSPTRNURYXX,20.0
GLOBAL,PWRBCKARGXX,1.0
GLOBAL,PWRBCKBOLXX,1.0
GLOBAL,PWRBCKBRAXX,1.0
GLOBAL,PWRBCKBRBXX,1.0
GLOBAL,PWRBCKCHLXX,1.0
GLOBAL,PWRBCKCOLXX,1.0
GLOBAL,PWRBCKCRIXX,1.0
GLOBAL,PWRBCKDOMXX,1.0
GLOBAL,PWRBCKECUXX,1.0
GLOBAL,PWRBCKGTMXX,1.0
GLOBAL,PWRBCKHNDXX,1.0
GLOBAL,PWRBCKHTIXX,1.0
GLOBAL,PWRBCKMEXXX,1.0
GLOBAL,PWRBCKNICXX,1.0
GLOBAL,PWRBCKPANXX,1.0
GLOBAL,PWRBCKPERXX,1.0
GLOBAL,PWRBCKPRYXX,1.0
GLOBAL,PWRBCKSLVXX,1.0
GLOBAL,PWRBCKURYXX,1.0
GLOBAL,PWRBDSCHLXX,30.0
GLOBAL,PWRBDSPERXX,30.0
GLOBAL,PWRBIOARGXX,30.0
GLOBAL,PWRBIOBOLXX,30.0
GLOBAL,PWRBIOBRAXX,30.0
GLOBAL,PWRBIOBRBXX,30.0
GLOBAL,PWRBIOCHLXX,30.0
GLOBAL,PWRBIOCOLXX,30.0
GLOBAL,PWRBIOCRIXX,30.0
GLOBAL,PWRBIODOMXX,30.0
GLOBAL,PWRBIOECUXX,30.0
GLOBAL,PWRBIOGTMXX,30.0
GLOBAL,PWRBIOHNDXX,30.0
GLOBAL,PWRBIOHTIXX,30.0
GLOBAL,PWRBIOMEXXX,30.0
GLOBAL,PWRBIONICXX,30.0
GLOBAL,PWRBIOPANXX,30.0
GLOBAL,PWRBIOPERXX,30.0
GLOBAL,PWRBIOPRYXX,30.0
GLOBAL,PWRBIOSLVXX,30.0
GLOBAL,PWRBIOURYXX,30.0
GLOBAL,PWRCCSARGXX,30.0
GLOBAL,PWRCCSBOLXX,30.0
GLOBAL,PWRCCSBRAXX,30.0
GLOBAL,PWRCCSBRBXX,30.0
GLOBAL,PWRCCSCHLXX,30.0
GLOBAL,PWRCCSCOLXX,30.0
GLOBAL,PWRCCSCRIXX,30.0
GLOBAL,PWRCCSDOMXX,30.0
GLOBAL,PWRCCSECUXX,30.0
GLOBAL,PWRCCSGTMXX,30.0
GLOBAL,PWRCCSHNDXX,30.0
GLOBAL,PWRCCSHTIXX,30.0
GLOBAL,PWRCCSMEXXX,30.0
GLOBAL,PWRCCSNICXX,30.0
GLOBAL,PWRCCSPANXX,30.0
GLOBAL,PWRCCSPERXX,30.0
GLOBAL,PWRCCSPRYXX,30.0
GLOBAL,PWRCCSSLVXX,30.0
GLOBAL,PWRCCSURYXX,30.0
GLOBAL,PWRCOAARGXX,30.0
GLOBAL,PWRCOABOLXX,30.0
GLOBAL,PWRCOABRAXX,30.0
GLOBAL,PWRCOABRBXX,30.0
