Model;Scenario1;Technology Tipo (grupos);Technology Tipo de Fuente;Años;Capital Investment;Fixed Cost;Total Capacity Annual;Variable Cost
ReLAC;BAU;Almacenamiento;No generacion;2023;;0.7454833499999999;0.1291;
ReLAC;BAU;Almacenamiento;No generacion;2024;75.61460995683362;1.3522024846589362;0.2092002224119;
ReLAC;BAU;Almacenamiento;No generacion;2025;350.54;1.7279474846589364;0.31920022241190005;
ReLAC;BAU;Almacenamiento;No generacion;2026;466.696;3.1376117346589365;0.5657002224118999;
ReLAC;BAU;Almacenamiento;No generacion;2027;5903.304;50.50474748465893;6.819200222411899;
ReLAC;BAU;Almacenamiento;No generacion;2028;1660.3070000000002;53.28119973465893;7.4847002224119;0.0013674389237157
ReLAC;BAU;Almacenamiento;No generacion;2029;616.288;54.57486248465892;7.7642002224118984;0.0043190791113015
ReLAC;BAU;Almacenamiento;No generacion;2030;82.60000000000001;57.07066023465894;8.093700222411899;0.005634911515589
ReLAC;BAU;Almacenamiento;No generacion;2031;1627.8400000000001;64.09026023465894;9.2137002224119;0.0075110672841282
ReLAC;BAU;Almacenamiento;No generacion;2032;;64.09026023465894;9.2137002224119;0.0088720869392135
ReLAC;BAU;Almacenamiento;No generacion;2033;282.28000000000003;64.54175023465893;9.3337002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2034;569.14;65.20175023465895;9.5537002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2035;;65.20175023465895;9.5537002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2036;548.46;65.86175023465894;9.7737002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2037;244.7;66.16175023465894;9.8737002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2038;528.0;66.82175023465895;10.0937002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2039;235.3;67.03085623465894;10.1817002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2040;507.53999999999996;67.69085623465894;10.4017002224119;0.0068475260524104
ReLAC;BAU;Almacenamiento;No generacion;2041;;67.69085623465894;10.4017002224119;0.0168916509175708
ReLAC;BAU;Almacenamiento;No generacion;2042;;67.45983398465894;10.3712002224119;0.0194951340967012
ReLAC;BAU;Almacenamiento;No generacion;2043;;67.39983398465894;10.3512002224119;0.0213368060416623
ReLAC;BAU;Almacenamiento;No generacion;2044;176.528;68.81626548465894;10.5382002224119;0.0222336338611722
ReLAC;BAU;Almacenamiento;No generacion;2045;;68.81475058465894;10.5380002224119;0.0222336338611722
ReLAC;BAU;Almacenamiento;No generacion;2046;;68.81475058465894;10.5380002224119;0.0222336338611722
ReLAC;BAU;Almacenamiento;No generacion;2047;;68.80869098465894;10.5372002224119;0.0226204983924507
ReLAC;BAU;Almacenamiento;No generacion;2048;;68.80869098465894;10.5372002224119;0.0236272475252681
ReLAC;BAU;Almacenamiento;No generacion;2049;;68.71629098465894;10.506400222411902;0.0243933839178668
ReLAC;BAU;Almacenamiento;No generacion;2050;;68.71629098465894;10.506400222411902;0.0250583339657876
ReLAC;BAU;Generación;Biomasa;2023;284.2606511573547;2625.003569226419;23.84721425635225;
ReLAC;BAU;Generación;Biomasa;2024;98.17345707766091;2628.4282247058723;23.892876329411624;
ReLAC;BAU;Generación;Biomasa;2025;98.17345707766115;2631.852880185326;23.938538402471004;
ReLAC;BAU;Generación;Biomasa;2026;195.26018561649107;2638.6898634045056;24.02703151206007;
ReLAC;BAU;Generación;Biomasa;2027;147.2601856164914;2639.1093466236853;24.040024621649135;
ReLAC;BAU;Generación;Biomasa;2028;260.84691415532166;2648.208657582592;24.16134876776789;
ReLAC;BAU;Generación;Biomasa;2029;147.2601856164892;2653.345640801772;24.229841877356957;
ReLAC;BAU;Generación;Biomasa;2030;147.26018561649363;2658.482624020952;24.298334986946024;
ReLAC;BAU;Generación;Biomasa;2031;250.0969141553216;2667.2069349798585;24.414659133064774;
ReLAC;BAU;Generación;Biomasa;2032;2543.9982566055246;2524.88584999538;22.93988855087343;
ReLAC;BAU;Generación;Biomasa;2033;168.76018561649187;2530.7728332145593;23.018381660462495;
ReLAC;BAU;Generación;Biomasa;2034;17827.34691415532;3212.622144173466;25.80970580658125;
ReLAC;BAU;Generación;Biomasa;2035;147.26018561649022;3217.3341273926458;25.873198916170313;
ReLAC;BAU;Generación;Biomasa;2036;147.26018561649164;3222.471110611826;25.94169202575938;
ReLAC;BAU;Generación;Biomasa;2037;196.3469141553215;3229.3204215707324;26.033016171878135;
ReLAC;BAU;Generación;Biomasa;2038;147.26018561649107;3234.4574047899127;26.1015092814672;
ReLAC;BAU;Generación;Biomasa;2039;147.26018561649943;3239.5943880090927;26.17000239105627;
ReLAC;BAU;Generación;Biomasa;2040;196.34691415531424;3246.4436989679994;26.26132653717502;
ReLAC;BAU;Generación;Biomasa;2041;174.98334225525014;3243.6584346613467;26.23661673469547;
ReLAC;BAU;Generación;Biomasa;2042;351.7101856164917;3248.7954178805267;26.305109844284537;
ReLAC;BAU;Generación;Biomasa;2043;273.89691415532207;3255.6447288394334;26.396433990403292;
ReLAC;BAU;Generación;Biomasa;2044;147.26018561649065;3260.781712058613;26.46492709999236;
ReLAC;BAU;Generación;Biomasa;2045;711.2601856164925;3265.918695277793;26.533420209581426;
ReLAC;BAU;Generación;Biomasa;2046;196.34691415532072;3272.7680062366994;26.624744355700177;
ReLAC;BAU;Generación;Biomasa;2047;147.26018561649192;3277.90498945588;26.693237465289243;
ReLAC;BAU;Generación;Biomasa;2048;147.26018561649113;3283.0419726750592;26.761730574878307;
ReLAC;BAU;Generación;Biomasa;2049;479.4229237546216;3299.766028154872;26.984717981275807;
ReLAC;BAU;Generación;Biomasa;2050;608.6754338814897;3320.998892127482;27.26782283424394;
ReLAC;BAU;Generación;Eólico;2023;3410.216167595582;1506.7098828073294;51.81664944200284;
ReLAC;BAU;Generación;Eólico;2024;1576.7935842715494;1547.3661434107598;53.17555516009369;
ReLAC;BAU;Generación;Eólico;2025;3234.1193968368343;1630.7501049418315;55.965673171107625;
ReLAC;BAU;Generación;Eólico;2026;3039.963163697386;1709.2781133036835;58.50150775683617;
ReLAC;BAU;Generación;Eólico;2027;4722.022481320273;1831.1168520465874;62.52154029494859;
ReLAC;BAU;Generación;Eólico;2028;7194.473944250637;2017.098948008918;68.44465227860957;
ReLAC;BAU;Generación;Eólico;2029;17984.943805074854;2479.4024746907858;84.76803901660446;
ReLAC;BAU;Generación;Eólico;2030;6340.288147995795;2642.508100557261;90.44827900963149;
ReLAC;BAU;Generación;Eólico;2031;3480.0997421923985;2714.09731604457;93.39025539846922;
ReLAC;BAU;Generación;Eólico;2032;3540.473684521349;2786.2651538689047;96.49569219909546;
ReLAC;BAU;Generación;Eólico;2033;3531.1503202769977;2857.462705977596;99.56812391792721;
ReLAC;BAU;Generación;Eólico;2034;3112.8445918505095;2917.198590531993;102.27145272501073;
ReLAC;BAU;Generación;Eólico;2035;3149.297871005958;2977.1374440022632;105.02574548185198;
ReLAC;BAU;Generación;Eólico;2036;3011.4438031401123;3032.871372659738;107.66098904702123;
ReLAC;BAU;Generación;Eólico;2037;3584.6801640939316;3102.5431243683547;110.79504465862216;
ReLAC;BAU;Generación;Eólico;2038;2290.7367992046693;3138.385001221195;112.85453414795693;
ReLAC;BAU;Generación;Eólico;2039;2343.192581000299;3175.070574067527;114.9521861759722;
ReLAC;BAU;Generación;Eólico;2040;4364.412302259366;3217.598534521123;117.39354296944717;
ReLAC;BAU;Generación;Eólico;2041;2456.417789811877;3240.0750358127157;118.10569869718667;
ReLAC;BAU;Generación;Eólico;2042;2356.1454273392096;3299.4856730522147;120.23472272762308;
ReLAC;BAU;Generación;Eólico;2043;2368.851561698402;3359.226218577921;122.3726647914592;
ReLAC;BAU;Generación;Eólico;2044;3240.9887876325583;3440.782759596712;125.34581749895825;
ReLAC;BAU;Generación;Eólico;2045;2429.131830962826;3502.0641291657;127.5326166993293;
ReLAC;BAU;Generación;Eólico;2046;2486.313608218341;3564.799016531827;129.76794401012856;
ReLAC;BAU;Generación;Eólico;2047;2520.0748193825475;3628.3915071118345;132.0320797722997;
ReLAC;BAU;Generación;Eólico;2048;2554.1193147099184;3692.8490933117278;134.32518590855858;
ReLAC;BAU;Generación;Eólico;2049;2588.7734295308087;3758.1872141582767;136.64779513857084;
ReLAC;BAU;Generación;Eólico;2050;2624.461291270815;3824.432172235591;139.00077789676186;
ReLAC;BAU;Generación;Fotovoltaica;2023;1804.5696191892582;799.2021917399825;62.62007742010969;
ReLAC;BAU;Generación;Fotovoltaica;2024;1127.9654078615326;824.7082436463342;64.25715728073244;
ReLAC;BAU;Generación;Fotovoltaica;2025;2235.034916843943;875.4448614907046;67.61044589600561;
ReLAC;BAU;Generación;Fotovoltaica;2026;2295.7886555116547;927.7993326008265;71.18750034038821;
ReLAC;BAU;Generación;Fotovoltaica;2027;1593.71280584447;964.0445789297158;73.61582823594381;
ReLAC;BAU;Generación;Fotovoltaica;2028;1489.772241553609;997.9094745140225;75.87663420996296;
ReLAC;BAU;Generación;Fotovoltaica;2029;5759.724592037834;1132.2130082177894;86.49276857830179;
ReLAC;BAU;Generación;Fotovoltaica;2030;1890.0875744586947;1175.2809330489652;89.4184204349695;
ReLAC;BAU;Generación;Fotovoltaica;2031;1866.1131219714302;1206.2803962539178;92.59188912629537;
ReLAC;BAU;Generación;Fotovoltaica;2032;1769.6090455784818;1235.5783204737968;95.68079151105005;
ReLAC;BAU;Generación;Fotovoltaica;2033;1319.2805447660712;1254.5838627266094;97.81703241787923;
ReLAC;BAU;Generación;Fotovoltaica;2034;1842.2646882435624;1287.3874881521888;101.15125951037064;
ReLAC;BAU;Generación;Fotovoltaica;2035;1357.051004636209;1308.9247920124644;103.51216455129047;
ReLAC;BAU;Generación;Fotovoltaica;2036;1344.6265525119106;1331.0912843268495;105.94158612291454;
ReLAC;BAU;Generación;Fotovoltaica;2037;1405.7166440749565;1355.9669052161385;108.57554832010602;
ReLAC;BAU;Generación;Fotovoltaica;2038;893.6977163416622;1367.2115450322174;110.34911536308891;
