# Upstream-format rows (REGION,TECHNOLOGY,YEAR,VALUE per otoole convention).
# NOT wired into t1_confection/OG_csvs_inputs -- for later manual promotion only.
scenario,REGION,TECHNOLOGY,YEAR,VALUE,change
VGB,GLOBAL,PWRCOAARGXX,2027,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2028,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2029,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2030,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2031,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2032,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2033,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2034,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2035,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2036,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2037,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2038,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2039,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2040,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2041,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2042,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2043,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2044,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2045,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2046,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2047,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2048,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2049,7.5844,new
VGB,GLOBAL,PWRCOAARGXX,2050,7.5844,new
VGB,GLOBAL,PWRCOABRAXX,2027,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2028,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2029,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2030,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2031,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2032,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2033,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2034,19.464,new
VGB,GLOBAL,PWRCOABRAXX,2035,19.464,new
