PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBCKURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIODOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIONICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRBIOURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOABOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOABRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOABRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOACHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOACOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOACRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOADOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOANICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOASLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOAURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCSPURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEODOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEONICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRGEOURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRHYDURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRLDSCRIXX,,,,,,,,,,31.536
