PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionls,INV,,,,,,,S1D1,1,,,,1
Conversionls,INV,,,,,,,S1D1,2,,,,0
Conversionls,INV,,,,,,,S1D1,3,,,,0
Conversionls,INV,,,,,,,S1D1,4,,,,0
Conversionls,INV,,,,,,,S1D2,1,,,,1
Conversionls,INV,,,,,,,S1D2,2,,,,0
Conversionls,INV,,,,,,,S1D2,3,,,,0
Conversionls,INV,,,,,,,S1D2,4,,,,0
Conversionls,INV,,,,,,,S1D3,1,,,,1
Conversionls,INV,,,,,,,S1D3,2,,,,0
Conversionls,INV,,,,,,,S1D3,3,,,,0
Conversionls,INV,,,,,,,S1D3,4,,,,0
Conversionls,INV,,,,,,,S2D1,1,,,,0
Conversionls,INV,,,,,,,S2D1,2,,,,1
Conversionls,INV,,,,,,,S2D1,3,,,,0
Conversionls,INV,,,,,,,S2D1,4,,,,0
Conversionls,INV,,,,,,,S2D2,1,,,,0
Conversionls,INV,,,,,,,S2D2,2,,,,1
Conversionls,INV,,,,,,,S2D2,3,,,,0
Conversionls,INV,,,,,,,S2D2,4,,,,0
Conversionls,INV,,,,,,,S2D3,1,,,,0
Conversionls,INV,,,,,,,S2D3,2,,,,1
Conversionls,INV,,,,,,,S2D3,3,,,,0
Conversionls,INV,,,,,,,S2D3,4,,,,0
Conversionls,INV,,,,,,,S3D1,1,,,,0
Conversionls,INV,,,,,,,S3D1,2,,,,0
Conversionls,INV,,,,,,,S3D1,3,,,,1
Conversionls,INV,,,,,,,S3D1,4,,,,0
Conversionls,INV,,,,,,,S3D2,1,,,,0
Conversionls,INV,,,,,,,S3D2,2,,,,0
Conversionls,INV,,,,,,,S3D2,3,,,,1
Conversionls,INV,,,,,,,S3D2,4,,,,0
Conversionls,INV,,,,,,,S3D3,1,,,,0
Conversionls,INV,,,,,,,S3D3,2,,,,0
Conversionls,INV,,,,,,,S3D3,3,,,,1
Conversionls,INV,,,,,,,S3D3,4,,,,0
Conversionls,INV,,,,,,,S4D1,1,,,,0
Conversionls,INV,,,,,,,S4D1,2,,,,0
Conversionls,INV,,,,,,,S4D1,3,,,,0
Conversionls,INV,,,,,,,S4D1,4,,,,1
Conversionls,INV,,,,,,,S4D2,1,,,,0
Conversionls,INV,,,,,,,S4D2,2,,,,0
Conversionls,INV,,,,,,,S4D2,3,,,,0
Conversionls,INV,,,,,,,S4D2,4,,,,1
Conversionls,INV,,,,,,,S4D3,1,,,,0
Conversionls,INV,,,,,,,S4D3,2,,,,0
Conversionls,INV,,,,,,,S4D3,3,,,,0
Conversionls,INV,,,,,,,S4D3,4,,,,1
