PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionld,OPT,,,,,,,S1D1,,1,,,1
Conversionld,OPT,,,,,,,S1D2,,1,,,1
Conversionld,OPT,,,,,,,S1D3,,1,,,1
Conversionld,OPT,,,,,,,S2D1,,1,,,1
Conversionld,OPT,,,,,,,S2D2,,1,,,1
Conversionld,OPT,,,,,,,S2D3,,1,,,1
Conversionld,OPT,,,,,,,S3D1,,1,,,1
Conversionld,OPT,,,,,,,S3D2,,1,,,1
Conversionld,OPT,,,,,,,S3D3,,1,,,1
Conversionld,OPT,,,,,,,S4D1,,1,,,1
Conversionld,OPT,,,,,,,S4D2,,1,,,1
Conversionld,OPT,,,,,,,S4D3,,1,,,1
