PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2023,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2024,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2025,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2026,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2027,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2028,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2029,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2030,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2031,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2032,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2033,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2034,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2035,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2036,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2037,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2038,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2039,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2040,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2041,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2042,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2043,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2044,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2045,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2046,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2047,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2048,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2049,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWTRNBRBXX,,,,2050,,,,,,0.0304
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWRPOBRBXX,,,,2023,,,,,,0.0
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWRPOBRBXX,,,,2024,,,,,,0.0
TotalAnnualMaxCapacity,OPT,GLOBAL,RNWRPOBRBXX,,,,2025,,,,,,0.0
