PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2024,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2025,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2026,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2027,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2028,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2029,,,,,,8.6
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2030,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2031,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2032,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2033,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2034,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2035,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2036,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2037,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2038,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2039,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2040,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2041,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2042,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2043,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2044,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2045,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2046,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2047,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2048,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2049,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVBRAXX,,,,2050,,,,,,0.7714
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2024,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2025,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2026,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2027,,,,,,1.393
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2028,,,,,,0.28
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2029,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2030,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2031,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2032,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2033,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2034,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2035,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2036,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2037,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2038,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2039,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2040,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2041,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2042,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2043,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2044,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2045,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2046,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2047,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2048,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2049,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRSPVMEXXX,,,,2050,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2024,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2025,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2026,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2027,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2028,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2029,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2030,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2031,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2032,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2033,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2034,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2035,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2036,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2037,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2038,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2039,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2040,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2041,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2042,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2043,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2044,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2045,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2046,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2047,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2048,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2049,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWROILBRBXX,,,,2050,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2024,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2025,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2026,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2027,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2028,,,,,,1.2
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2029,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2030,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2031,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2032,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2033,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2034,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2035,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2036,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2037,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2038,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2039,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2040,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2041,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2042,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2043,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2044,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2045,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2046,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2047,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2048,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2049,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRURNARGXX,,,,2050,,,,,,0.2079
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRWONPERXX,,,,2023,,,,,,
TotalAnnualMinCapacityInvestment,OPT,GLOBAL,PWRWONPERXX,,,,2024,,,,,,0.177
