PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBCKURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIODOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIONICXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRBIOURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCCSURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOABOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOABRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOABRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOACHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOACOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOACRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOADOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOANICXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOASLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOAURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGHNDXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGHTIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGMEXXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGNICXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGPANXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGPERXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGPRYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGSLVXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCOGURYXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPARGXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPBOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPBRAXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPBRBXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPCHLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPCOLXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPCRIXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPDOMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPECUXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPGTMXX,,,,,,,,,,31.536
CapacityToActivityUnit,VGB,GLOBAL,PWRCSPHNDXX,,,,,,,,,,31.536
