PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,VGB,GLOBAL,PWRBCKARGXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKBOLXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKBRAXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKBRBXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKCHLXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKCOLXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKCRIXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKDOMXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKECUXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKGTMXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKHNDXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKHTIXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKMEXXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKNICXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKPANXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKPERXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKPRYXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKSLVXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBCKURYXX,,,,,,,,,,1.0
OperationalLife,VGB,GLOBAL,PWRBIOARGXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOBOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOBRAXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOBRBXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOCHLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOCOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOCRIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIODOMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOECUXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOGTMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOHNDXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOHTIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOMEXXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIONICXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOPANXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOPERXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOPRYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOSLVXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRBIOURYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSARGXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSBOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSBRAXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSBRBXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSCHLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSCOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSCRIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSDOMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSECUXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSGTMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSHNDXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSHTIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSMEXXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSNICXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSPANXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSPERXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSPRYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSSLVXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCCSURYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAARGXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOABOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOABRAXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOABRBXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOACHLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOACOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOACRIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOADOMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAECUXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAGTMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAHNDXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAHTIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAMEXXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOANICXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAPANXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAPERXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAPRYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOASLVXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOAURYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGARGXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGBOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGBRAXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGBRBXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGCHLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGCOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGCRIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGDOMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGECUXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGGTMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGHNDXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGHTIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGMEXXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGNICXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGPANXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGPERXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGPRYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGSLVXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCOGURYXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPARGXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPBOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPBRAXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPBRBXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPCHLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPCOLXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPCRIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPDOMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPECUXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPGTMXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPHNDXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPHTIXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPMEXXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPNICXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPPANXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPPERXX,,,,,,,,,,30.0
OperationalLife,VGB,GLOBAL,PWRCSPPRYXX,,,,,,,,,,30.0
