REGION,FUEL,YEAR,VALUE
GLOBAL,ELCARGXX03,2023,524.49
GLOBAL,ELCARGXX03,2024,529.1
GLOBAL,ELCARGXX03,2025,533.72
GLOBAL,ELCARGXX03,2026,538.33
GLOBAL,ELCARGXX03,2027,542.95
GLOBAL,ELCARGXX03,2028,547.56
GLOBAL,ELCARGXX03,2029,552.18
GLOBAL,ELCARGXX03,2030,556.79
GLOBAL,ELCARGXX03,2031,561.41
GLOBAL,ELCARGXX03,2032,566.03
GLOBAL,ELCARGXX03,2033,570.64
GLOBAL,ELCARGXX03,2034,575.26
GLOBAL,ELCARGXX03,2035,579.87
GLOBAL,ELCARGXX03,2036,584.49
GLOBAL,ELCARGXX03,2037,589.1
GLOBAL,ELCARGXX03,2038,593.72
GLOBAL,ELCARGXX03,2039,598.33
GLOBAL,ELCARGXX03,2040,602.95
GLOBAL,ELCARGXX03,2041,607.56
GLOBAL,ELCARGXX03,2042,612.18
GLOBAL,ELCARGXX03,2043,616.8
GLOBAL,ELCARGXX03,2044,621.41
GLOBAL,ELCARGXX03,2045,626.03
GLOBAL,ELCARGXX03,2046,630.64
GLOBAL,ELCARGXX03,2047,635.26
GLOBAL,ELCARGXX03,2048,639.87
GLOBAL,ELCARGXX03,2049,644.49
GLOBAL,ELCARGXX03,2050,649.1
GLOBAL,ELCBOLXX03,2023,42.81
GLOBAL,ELCBOLXX03,2024,45.54
GLOBAL,ELCBOLXX03,2025,48.27
GLOBAL,ELCBOLXX03,2026,51.01
GLOBAL,ELCBOLXX03,2027,53.74
GLOBAL,ELCBOLXX03,2028,56.47
GLOBAL,ELCBOLXX03,2029,59.2
GLOBAL,ELCBOLXX03,2030,61.93
GLOBAL,ELCBOLXX03,2031,64.66
GLOBAL,ELCBOLXX03,2032,67.39
GLOBAL,ELCBOLXX03,2033,70.13
GLOBAL,ELCBOLXX03,2034,72.86
GLOBAL,ELCBOLXX03,2035,75.59
GLOBAL,ELCBOLXX03,2036,78.32
GLOBAL,ELCBOLXX03,2037,81.05
GLOBAL,ELCBOLXX03,2038,83.78
GLOBAL,ELCBOLXX03,2039,86.51
GLOBAL,ELCBOLXX03,2040,89.25
GLOBAL,ELCBOLXX03,2041,91.98
GLOBAL,ELCBOLXX03,2042,94.71
GLOBAL,ELCBOLXX03,2043,97.44
GLOBAL,ELCBOLXX03,2044,100.17
GLOBAL,ELCBOLXX03,2045,102.9
GLOBAL,ELCBOLXX03,2046,105.63
GLOBAL,ELCBOLXX03,2047,108.37
GLOBAL,ELCBOLXX03,2048,111.1
GLOBAL,ELCBOLXX03,2049,113.83
GLOBAL,ELCBOLXX03,2050,116.56
GLOBAL,ELCBRAXX03,2023,2599.63
GLOBAL,ELCBRAXX03,2024,2656.56
GLOBAL,ELCBRAXX03,2025,2713.49
GLOBAL,ELCBRAXX03,2026,2770.42
GLOBAL,ELCBRAXX03,2027,2827.36
GLOBAL,ELCBRAXX03,2028,2884.29
GLOBAL,ELCBRAXX03,2029,2941.22
GLOBAL,ELCBRAXX03,2030,2998.15
GLOBAL,ELCBRAXX03,2031,3055.08
GLOBAL,ELCBRAXX03,2032,3112.02
GLOBAL,ELCBRAXX03,2033,3168.95
GLOBAL,ELCBRAXX03,2034,3225.88
GLOBAL,ELCBRAXX03,2035,3282.81
GLOBAL,ELCBRAXX03,2036,3339.74
GLOBAL,ELCBRAXX03,2037,3396.67
GLOBAL,ELCBRAXX03,2038,3453.61
GLOBAL,ELCBRAXX03,2039,3510.54
GLOBAL,ELCBRAXX03,2040,3567.47
GLOBAL,ELCBRAXX03,2041,3624.4
GLOBAL,ELCBRAXX03,2042,3681.33
GLOBAL,ELCBRAXX03,2043,3738.27
GLOBAL,ELCBRAXX03,2044,3795.2
GLOBAL,ELCBRAXX03,2045,3852.13
GLOBAL,ELCBRAXX03,2046,3909.06
GLOBAL,ELCBRAXX03,2047,3965.99
GLOBAL,ELCBRAXX03,2048,4022.93
GLOBAL,ELCBRAXX03,2049,4079.86
GLOBAL,ELCBRAXX03,2050,4136.79
GLOBAL,ELCBRBXX03,2023,3.87
GLOBAL,ELCBRBXX03,2024,4.08
GLOBAL,ELCBRBXX03,2025,4.29
GLOBAL,ELCBRBXX03,2026,4.49
GLOBAL,ELCBRBXX03,2027,4.7
GLOBAL,ELCBRBXX03,2028,4.91
GLOBAL,ELCBRBXX03,2029,5.12
GLOBAL,ELCBRBXX03,2030,5.32
GLOBAL,ELCBRBXX03,2031,5.53
GLOBAL,ELCBRBXX03,2032,5.74
GLOBAL,ELCBRBXX03,2033,5.94
GLOBAL,ELCBRBXX03,2034,6.15
GLOBAL,ELCBRBXX03,2035,6.36
GLOBAL,ELCBRBXX03,2036,6.56
GLOBAL,ELCBRBXX03,2037,6.77
GLOBAL,ELCBRBXX03,2038,6.98
GLOBAL,ELCBRBXX03,2039,7.18
GLOBAL,ELCBRBXX03,2040,7.39
GLOBAL,ELCBRBXX03,2041,7.6
GLOBAL,ELCBRBXX03,2042,7.8
GLOBAL,ELCBRBXX03,2043,8.01
GLOBAL,ELCBRBXX03,2044,8.22
GLOBAL,ELCBRBXX03,2045,8.43
GLOBAL,ELCBRBXX03,2046,8.63
GLOBAL,ELCBRBXX03,2047,8.84
GLOBAL,ELCBRBXX03,2048,9.05
GLOBAL,ELCBRBXX03,2049,9.25
GLOBAL,ELCBRBXX03,2050,9.46
GLOBAL,ELCCHLXX03,2023,302.26
GLOBAL,ELCCHLXX03,2024,313.41
GLOBAL,ELCCHLXX03,2025,324.56
GLOBAL,ELCCHLXX03,2026,335.71
GLOBAL,ELCCHLXX03,2027,346.87
GLOBAL,ELCCHLXX03,2028,358.02
GLOBAL,ELCCHLXX03,2029,369.17
GLOBAL,ELCCHLXX03,2030,380.33
GLOBAL,ELCCHLXX03,2031,391.48
GLOBAL,ELCCHLXX03,2032,402.63
GLOBAL,ELCCHLXX03,2033,413.79
GLOBAL,ELCCHLXX03,2034,424.94
GLOBAL,ELCCHLXX03,2035,436.09
GLOBAL,ELCCHLXX03,2036,447.25
GLOBAL,ELCCHLXX03,2037,458.4
GLOBAL,ELCCHLXX03,2038,469.55
GLOBAL,ELCCHLXX03,2039,480.71
GLOBAL,ELCCHLXX03,2040,491.86
GLOBAL,ELCCHLXX03,2041,503.01
GLOBAL,ELCCHLXX03,2042,514.17
GLOBAL,ELCCHLXX03,2043,525.32
GLOBAL,ELCCHLXX03,2044,536.47
GLOBAL,ELCCHLXX03,2045,547.63
GLOBAL,ELCCHLXX03,2046,558.78
GLOBAL,ELCCHLXX03,2047,569.93
GLOBAL,ELCCHLXX03,2048,581.09
GLOBAL,ELCCHLXX03,2049,592.24
GLOBAL,ELCCHLXX03,2050,603.39
GLOBAL,ELCCOLXX03,2023,288.23
GLOBAL,ELCCOLXX03,2024,294.17
GLOBAL,ELCCOLXX03,2025,300.1
GLOBAL,ELCCOLXX03,2026,306.04
GLOBAL,ELCCOLXX03,2027,311.98
GLOBAL,ELCCOLXX03,2028,317.92
GLOBAL,ELCCOLXX03,2029,323.85
GLOBAL,ELCCOLXX03,2030,329.79
GLOBAL,ELCCOLXX03,2031,335.73
GLOBAL,ELCCOLXX03,2032,341.67
GLOBAL,ELCCOLXX03,2033,347.6
GLOBAL,ELCCOLXX03,2034,353.54
GLOBAL,ELCCOLXX03,2035,359.48
GLOBAL,ELCCOLXX03,2036,365.42
GLOBAL,ELCCOLXX03,2037,371.35
GLOBAL,ELCCOLXX03,2038,377.29
GLOBAL,ELCCOLXX03,2039,383.23
GLOBAL,ELCCOLXX03,2040,389.17
GLOBAL,ELCCOLXX03,2041,395.1
GLOBAL,ELCCOLXX03,2042,401.04
GLOBAL,ELCCOLXX03,2043,406.98
