REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRNGSBRAXX,2023,0.0
GLOBAL,PWRNGSBRAXX,2024,0.0
GLOBAL,PWRNGSBRAXX,2025,0.611
GLOBAL,PWRNGSBRAXX,2026,0.0
GLOBAL,PWRNGSBRAXX,2027,0.0
GLOBAL,PWRNGSBRAXX,2028,0.0
GLOBAL,PWRNGSBRAXX,2029,0.0
GLOBAL,PWRNGSBRAXX,2030,0.0
GLOBAL,PWRNGSBRAXX,2031,0.0
GLOBAL,PWRNGSBRAXX,2032,0.0
GLOBAL,PWRNGSBRAXX,2033,0.0
GLOBAL,PWRNGSBRAXX,2034,0.0
GLOBAL,PWRNGSBRAXX,2035,0.0
GLOBAL,PWRNGSBRAXX,2036,0.0
GLOBAL,PWRNGSBRAXX,2037,0.0
GLOBAL,PWRNGSBRAXX,2038,0.0
GLOBAL,PWRNGSBRAXX,2039,0.0
GLOBAL,PWRNGSBRAXX,2040,0.0
GLOBAL,PWRNGSBRAXX,2041,0.0
GLOBAL,PWRNGSBRAXX,2042,0.0
GLOBAL,PWRNGSBRAXX,2043,0.0
GLOBAL,PWRNGSBRAXX,2044,0.0
GLOBAL,PWRNGSBRAXX,2045,0.0
GLOBAL,PWRNGSBRAXX,2046,0.0
GLOBAL,PWRNGSBRAXX,2047,0.0
GLOBAL,PWRNGSBRAXX,2048,0.0
GLOBAL,PWRNGSBRAXX,2049,0.0
GLOBAL,PWRNGSBRAXX,2050,0.0
GLOBAL,PWRNGSMEXXX,2023,0.0
GLOBAL,PWRNGSMEXXX,2024,0.0
GLOBAL,PWRNGSMEXXX,2025,3.7799
GLOBAL,PWRNGSMEXXX,2026,0.0
GLOBAL,PWRNGSMEXXX,2027,0.0
GLOBAL,PWRNGSMEXXX,2028,0.0
GLOBAL,PWRNGSMEXXX,2029,0.0
GLOBAL,PWRNGSMEXXX,2030,0.0
GLOBAL,PWRNGSMEXXX,2031,0.0
GLOBAL,PWRNGSMEXXX,2032,0.0
GLOBAL,PWRNGSMEXXX,2033,0.0
GLOBAL,PWRNGSMEXXX,2034,0.0
GLOBAL,PWRNGSMEXXX,2035,0.0
GLOBAL,PWRNGSMEXXX,2036,0.0
GLOBAL,PWRNGSMEXXX,2037,0.0
GLOBAL,PWRNGSMEXXX,2038,0.0
GLOBAL,PWRNGSMEXXX,2039,0.0
GLOBAL,PWRNGSMEXXX,2040,0.0
GLOBAL,PWRNGSMEXXX,2041,0.0
GLOBAL,PWRNGSMEXXX,2042,0.0
GLOBAL,PWRNGSMEXXX,2043,0.0
GLOBAL,PWRNGSMEXXX,2044,0.0
GLOBAL,PWRNGSMEXXX,2045,0.0
GLOBAL,PWRNGSMEXXX,2046,0.0
GLOBAL,PWRNGSMEXXX,2047,0.0
GLOBAL,PWRNGSMEXXX,2048,0.0
GLOBAL,PWRNGSMEXXX,2049,0.0
GLOBAL,PWRNGSMEXXX,2050,0.0
GLOBAL,PWRSPVARGXX,2023,
