REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRGEOCRIXX,2027,0.055
GLOBAL,PWRGEONICXX,2028,0.01
GLOBAL,PWRGEOSLVXX,2026,0.025
GLOBAL,PWRHYDGTMXX,2026,0.0308
GLOBAL,PWRHYDMEXXX,2027,0.24
GLOBAL,PWRHYDPERXX,2024,0.0187
GLOBAL,PWRHYDPERXX,2025,0.2093
GLOBAL,PWRHYDPERXX,2027,0.392
GLOBAL,PWRHYDPRYXX,2028,0.09
GLOBAL,PWRHYDPRYXX,2029,0.18
GLOBAL,PWRLDSCHLXX,2028,0.465
GLOBAL,PWRLDSCRIXX,2028,0.03
GLOBAL,PWRLDSCRIXX,2029,0.06
GLOBAL,PWRLDSCRIXX,2031,0.1
GLOBAL,PWRLDSPRYXX,2031,0.1
GLOBAL,PWRLDSPRYXX,2033,0.1
GLOBAL,PWRLDSPRYXX,2034,0.1
GLOBAL,PWRLDSPRYXX,2036,0.1
GLOBAL,PWRLDSPRYXX,2037,0.1
GLOBAL,PWRLDSPRYXX,2038,0.1
GLOBAL,PWRLDSPRYXX,2039,0.1
GLOBAL,PWRLDSPRYXX,2040,0.1
GLOBAL,PWRLDSURYXX,2029,0.12
GLOBAL,PWRLDSURYXX,2031,0.12
GLOBAL,PWRLDSURYXX,2034,0.12
GLOBAL,PWRLDSURYXX,2036,0.12
GLOBAL,PWRLDSURYXX,2038,0.12
GLOBAL,PWRLDSURYXX,2040,0.12
GLOBAL,PWRNGSBRAXX,2025,0.605
GLOBAL,PWRNGSMEXXX,2025,3.7425
GLOBAL,PWRPETECUXX,2024,0.4
GLOBAL,PWRPETECUXX,2025,0.3
GLOBAL,PWRPETECUXX,2026,0.077
GLOBAL,PWRPETECUXX,2027,0.11
GLOBAL,PWRPETECUXX,2028,0.1
GLOBAL,PWRSDSBRAXX,2031,0.8
GLOBAL,PWRSDSCHLXX,2044,0.187
GLOBAL,PWRSDSDOMXX,2028,0.0825
GLOBAL,PWRSDSDOMXX,2029,0.0825
GLOBAL,PWRSDSDOMXX,2030,0.0825
GLOBAL,PWRSDSHNDXX,2028,0.088
GLOBAL,PWRSDSHNDXX,2029,0.017
GLOBAL,PWRSDSHNDXX,2030,0.005
GLOBAL,PWRSDSHNDXX,2033,0.02
GLOBAL,PWRSPVARGXX,2026,0.435
GLOBAL,PWRSPVCOLXX,2025,0.049
GLOBAL,PWRSPVCOLXX,2026,0.152
GLOBAL,PWRSPVCOLXX,2027,2.2
GLOBAL,PWRSPVCRIXX,2024,0.05
GLOBAL,PWRSPVCRIXX,2025,0.02
GLOBAL,PWRSPVCRIXX,2026,0.025
GLOBAL,PWRSPVECUXX,2025,0.2
GLOBAL,PWRSPVMEXXX,2027,0.3
GLOBAL,PWRSPVMEXXX,2028,0.28
GLOBAL,PWRSPVPERXX,2024,0.115
GLOBAL,PWRSPVURYXX,2028,0.075
GLOBAL,PWRTRNBOLXX,2025,0.4386
GLOBAL,PWRTRNBOLXX,2026,0.3447
GLOBAL,PWRTRNBRAXX,2025,0.4973
GLOBAL,PWRTRNBRAXX,2026,3.0752
GLOBAL,PWRTRNBRAXX,2027,4.4347
GLOBAL,PWRTRNBRAXX,2028,5.9385
GLOBAL,PWRTRNBRAXX,2029,8.3458
GLOBAL,PWRTRNCOLXX,2025,0.306
GLOBAL,PWRTRNCOLXX,2026,0.9989
GLOBAL,PWRTRNCRIXX,2027,0.02
GLOBAL,PWRTRNDOMXX,2025,0.4
GLOBAL,PWRTRNDOMXX,2026,0.3
GLOBAL,PWRTRNDOMXX,2027,0.5895
GLOBAL,PWRTRNECUXX,2025,0.144
GLOBAL,PWRTRNECUXX,2026,0.6152
GLOBAL,PWRTRNECUXX,2027,0.8
