REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DSPTRNARGXX,2023,2.8665
GLOBAL,DSPTRNARGXX,2024,3.0303
GLOBAL,DSPTRNARGXX,2025,3.1941
GLOBAL,DSPTRNARGXX,2026,3.3579
GLOBAL,DSPTRNARGXX,2027,3.5217
GLOBAL,DSPTRNARGXX,2028,3.6855
GLOBAL,DSPTRNARGXX,2029,3.8493
GLOBAL,DSPTRNARGXX,2030,4.0131
GLOBAL,DSPTRNARGXX,2031,4.1769
GLOBAL,DSPTRNARGXX,2032,4.3407
GLOBAL,DSPTRNARGXX,2033,4.5045
GLOBAL,DSPTRNARGXX,2034,4.6683
GLOBAL,DSPTRNARGXX,2035,4.8321
GLOBAL,DSPTRNARGXX,2036,4.9959
GLOBAL,DSPTRNARGXX,2037,5.1597
GLOBAL,DSPTRNARGXX,2038,5.3235
GLOBAL,DSPTRNARGXX,2039,5.4873
GLOBAL,DSPTRNARGXX,2040,5.6511
GLOBAL,DSPTRNARGXX,2041,5.8149
GLOBAL,DSPTRNARGXX,2042,5.9787
GLOBAL,DSPTRNARGXX,2043,6.1425
GLOBAL,DSPTRNARGXX,2044,6.3063
GLOBAL,DSPTRNARGXX,2045,6.4701
GLOBAL,DSPTRNARGXX,2046,6.6339
GLOBAL,DSPTRNARGXX,2047,6.7977
GLOBAL,DSPTRNARGXX,2048,6.9615
GLOBAL,DSPTRNARGXX,2049,7.1253
GLOBAL,DSPTRNARGXX,2050,7.2891
GLOBAL,DSPTRNBOLXX,2023,4.9157
GLOBAL,DSPTRNBOLXX,2024,5.1966
GLOBAL,DSPTRNBOLXX,2025,5.4775
GLOBAL,DSPTRNBOLXX,2026,5.7584
GLOBAL,DSPTRNBOLXX,2027,6.0393
GLOBAL,DSPTRNBOLXX,2028,6.3202
GLOBAL,DSPTRNBOLXX,2029,6.6011
GLOBAL,DSPTRNBOLXX,2030,6.882
GLOBAL,DSPTRNBOLXX,2031,7.1629
GLOBAL,DSPTRNBOLXX,2032,7.4438
GLOBAL,DSPTRNBOLXX,2033,7.7247
GLOBAL,DSPTRNBOLXX,2034,8.0056
GLOBAL,DSPTRNBOLXX,2035,8.2865
GLOBAL,DSPTRNBOLXX,2036,8.5674
GLOBAL,DSPTRNBOLXX,2037,8.8483
GLOBAL,DSPTRNBOLXX,2038,9.1292
GLOBAL,DSPTRNBOLXX,2039,9.4101
GLOBAL,DSPTRNBOLXX,2040,9.691
GLOBAL,DSPTRNBOLXX,2041,9.9719
GLOBAL,DSPTRNBOLXX,2042,10.2528
GLOBAL,DSPTRNBOLXX,2043,10.5337
GLOBAL,DSPTRNBOLXX,2044,10.8146
GLOBAL,DSPTRNBOLXX,2045,11.0955
GLOBAL,DSPTRNBOLXX,2046,11.3764
GLOBAL,DSPTRNBOLXX,2047,11.6573
GLOBAL,DSPTRNBOLXX,2048,11.9382
GLOBAL,DSPTRNBOLXX,2049,12.2191
GLOBAL,DSPTRNBOLXX,2050,12.5
GLOBAL,DSPTRNBRAXX,2023,6.2389
GLOBAL,DSPTRNBRAXX,2024,6.5954
GLOBAL,DSPTRNBRAXX,2025,6.9519
GLOBAL,DSPTRNBRAXX,2026,7.3084
GLOBAL,DSPTRNBRAXX,2027,7.6649
GLOBAL,DSPTRNBRAXX,2028,8.0214
GLOBAL,DSPTRNBRAXX,2029,8.3779
GLOBAL,DSPTRNBRAXX,2030,8.7344
GLOBAL,DSPTRNBRAXX,2031,9.0909
GLOBAL,DSPTRNBRAXX,2032,9.4474
GLOBAL,DSPTRNBRAXX,2033,9.8039
GLOBAL,DSPTRNBRAXX,2034,10.1604
GLOBAL,DSPTRNBRAXX,2035,10.5169
GLOBAL,DSPTRNBRAXX,2036,10.8734
GLOBAL,DSPTRNBRAXX,2037,11.2299
GLOBAL,DSPTRNBRAXX,2038,11.5865
GLOBAL,DSPTRNBRAXX,2039,11.943
GLOBAL,DSPTRNBRAXX,2040,12.2995
GLOBAL,DSPTRNBRAXX,2041,12.656
GLOBAL,DSPTRNBRAXX,2042,13.0125
GLOBAL,DSPTRNBRAXX,2043,13.369
GLOBAL,DSPTRNBRAXX,2044,13.7255
GLOBAL,DSPTRNBRAXX,2045,14.082
GLOBAL,DSPTRNBRAXX,2046,14.4385
GLOBAL,DSPTRNBRAXX,2047,14.795
GLOBAL,DSPTRNBRAXX,2048,15.1515
GLOBAL,DSPTRNBRAXX,2049,15.508
GLOBAL,DSPTRNBRAXX,2050,15.8645
GLOBAL,DSPTRNBRBXX,2023,6.5177
GLOBAL,DSPTRNBRBXX,2024,6.8901
GLOBAL,DSPTRNBRBXX,2025,7.2626
GLOBAL,DSPTRNBRBXX,2026,7.635
GLOBAL,DSPTRNBRBXX,2027,8.0074
GLOBAL,DSPTRNBRBXX,2028,8.3799
GLOBAL,DSPTRNBRBXX,2029,8.7523
GLOBAL,DSPTRNBRBXX,2030,9.1248
GLOBAL,DSPTRNBRBXX,2031,9.4972
GLOBAL,DSPTRNBRBXX,2032,9.8696
GLOBAL,DSPTRNBRBXX,2033,10.2421
GLOBAL,DSPTRNBRBXX,2034,10.6145
GLOBAL,DSPTRNBRBXX,2035,10.987
GLOBAL,DSPTRNBRBXX,2036,11.3594
GLOBAL,DSPTRNBRBXX,2037,11.7318
GLOBAL,DSPTRNBRBXX,2038,12.1043
GLOBAL,DSPTRNBRBXX,2039,12.4767
GLOBAL,DSPTRNBRBXX,2040,12.8492
GLOBAL,DSPTRNBRBXX,2041,13.2216
GLOBAL,DSPTRNBRBXX,2042,13.594
GLOBAL,DSPTRNBRBXX,2043,13.9665
GLOBAL,DSPTRNBRBXX,2044,14.3389
GLOBAL,DSPTRNBRBXX,2045,14.7114
GLOBAL,DSPTRNBRBXX,2046,15.0838
GLOBAL,DSPTRNBRBXX,2047,15.4562
GLOBAL,DSPTRNBRBXX,2048,15.8287
GLOBAL,DSPTRNBRBXX,2049,16.2011
GLOBAL,DSPTRNBRBXX,2050,16.5736
GLOBAL,DSPTRNCHLXX,2023,2.2786
GLOBAL,DSPTRNCHLXX,2024,2.4089
GLOBAL,DSPTRNCHLXX,2025,2.5391
GLOBAL,DSPTRNCHLXX,2026,2.6693
GLOBAL,DSPTRNCHLXX,2027,2.7995
GLOBAL,DSPTRNCHLXX,2028,2.9297
GLOBAL,DSPTRNCHLXX,2029,3.0599
GLOBAL,DSPTRNCHLXX,2030,3.1901
GLOBAL,DSPTRNCHLXX,2031,3.3203
GLOBAL,DSPTRNCHLXX,2032,3.4505
GLOBAL,DSPTRNCHLXX,2033,3.5807
GLOBAL,DSPTRNCHLXX,2034,3.7109
GLOBAL,DSPTRNCHLXX,2035,3.8411
GLOBAL,DSPTRNCHLXX,2036,3.9714
GLOBAL,DSPTRNCHLXX,2037,4.1016
GLOBAL,DSPTRNCHLXX,2038,4.2318
GLOBAL,DSPTRNCHLXX,2039,4.362
GLOBAL,DSPTRNCHLXX,2040,4.4922
GLOBAL,DSPTRNCHLXX,2041,4.6224
GLOBAL,DSPTRNCHLXX,2042,4.7526
GLOBAL,DSPTRNCHLXX,2043,4.8828
GLOBAL,DSPTRNCHLXX,2044,5.013
GLOBAL,DSPTRNCHLXX,2045,5.1432
GLOBAL,DSPTRNCHLXX,2046,5.2734
GLOBAL,DSPTRNCHLXX,2047,5.4036
GLOBAL,DSPTRNCHLXX,2048,5.5339
GLOBAL,DSPTRNCHLXX,2049,5.6641
GLOBAL,DSPTRNCHLXX,2050,5.7943
GLOBAL,DSPTRNCOLXX,2023,6.4576
GLOBAL,DSPTRNCOLXX,2024,6.8266
GLOBAL,DSPTRNCOLXX,2025,7.1956
GLOBAL,DSPTRNCOLXX,2026,7.5646
GLOBAL,DSPTRNCOLXX,2027,7.9336
GLOBAL,DSPTRNCOLXX,2028,8.3026
GLOBAL,DSPTRNCOLXX,2029,8.6716
GLOBAL,DSPTRNCOLXX,2030,9.0406
GLOBAL,DSPTRNCOLXX,2031,9.4096
GLOBAL,DSPTRNCOLXX,2032,9.7786
GLOBAL,DSPTRNCOLXX,2033,10.1476
GLOBAL,DSPTRNCOLXX,2034,10.5166
GLOBAL,DSPTRNCOLXX,2035,10.8856
GLOBAL,DSPTRNCOLXX,2036,11.2546
GLOBAL,DSPTRNCOLXX,2037,11.6236
GLOBAL,DSPTRNCOLXX,2038,11.9926
GLOBAL,DSPTRNCOLXX,2039,12.3616
GLOBAL,DSPTRNCOLXX,2040,12.7306
GLOBAL,DSPTRNCOLXX,2041,13.0996
GLOBAL,DSPTRNCOLXX,2042,13.4686
GLOBAL,DSPTRNCOLXX,2043,13.8376
GLOBAL,DSPTRNCOLXX,2044,14.2066
GLOBAL,DSPTRNCOLXX,2045,14.5756
GLOBAL,DSPTRNCOLXX,2046,14.9446
GLOBAL,DSPTRNCOLXX,2047,15.3137
GLOBAL,DSPTRNCOLXX,2048,15.6827
GLOBAL,DSPTRNCOLXX,2049,16.0517
GLOBAL,DSPTRNCOLXX,2050,16.4207
GLOBAL,DSPTRNCRIXX,2023,1.4875
GLOBAL,DSPTRNCRIXX,2024,1.5725
