REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOARGXX,2023,0.5
GLOBAL,PWRBIOARGXX,2024,0.5
GLOBAL,PWRBIOARGXX,2025,0.5
GLOBAL,PWRBIOARGXX,2026,0.5
GLOBAL,PWRBIOARGXX,2027,0.5
GLOBAL,PWRBIOARGXX,2028,0.5
GLOBAL,PWRBIOARGXX,2029,0.5
GLOBAL,PWRBIOARGXX,2030,0.5
GLOBAL,PWRBIOARGXX,2031,0.5
GLOBAL,PWRBIOARGXX,2032,0.5
GLOBAL,PWRBIOARGXX,2033,0.5
GLOBAL,PWRBIOARGXX,2034,0.5
GLOBAL,PWRBIOARGXX,2035,0.5
GLOBAL,PWRBIOARGXX,2036,0.5
GLOBAL,PWRBIOARGXX,2037,0.5
GLOBAL,PWRBIOARGXX,2038,0.5
GLOBAL,PWRBIOARGXX,2039,0.5
GLOBAL,PWRBIOARGXX,2040,0.5
GLOBAL,PWRBIOARGXX,2041,0.5
GLOBAL,PWRBIOARGXX,2042,0.5
GLOBAL,PWRBIOARGXX,2043,0.5
GLOBAL,PWRBIOARGXX,2044,0.5
GLOBAL,PWRBIOARGXX,2045,0.5
GLOBAL,PWRBIOARGXX,2046,0.5
GLOBAL,PWRBIOARGXX,2047,0.5
GLOBAL,PWRBIOARGXX,2048,0.5
GLOBAL,PWRBIOARGXX,2049,0.5
GLOBAL,PWRBIOARGXX,2050,0.5
GLOBAL,PWRBIOBOLXX,2023,0.5
GLOBAL,PWRBIOBOLXX,2024,0.5
GLOBAL,PWRBIOBOLXX,2025,0.5
GLOBAL,PWRBIOBOLXX,2026,0.5
GLOBAL,PWRBIOBOLXX,2027,0.5
GLOBAL,PWRBIOBOLXX,2028,0.5
GLOBAL,PWRBIOBOLXX,2029,0.5
GLOBAL,PWRBIOBOLXX,2030,0.5
GLOBAL,PWRBIOBOLXX,2031,0.5
GLOBAL,PWRBIOBOLXX,2032,0.5
GLOBAL,PWRBIOBOLXX,2033,0.5
GLOBAL,PWRBIOBOLXX,2034,0.5
GLOBAL,PWRBIOBOLXX,2035,0.5
GLOBAL,PWRBIOBOLXX,2036,0.5
GLOBAL,PWRBIOBOLXX,2037,0.5
GLOBAL,PWRBIOBOLXX,2038,0.5
GLOBAL,PWRBIOBOLXX,2039,0.5
GLOBAL,PWRBIOBOLXX,2040,0.5
GLOBAL,PWRBIOBOLXX,2041,0.5
GLOBAL,PWRBIOBOLXX,2042,0.5
GLOBAL,PWRBIOBOLXX,2043,0.5
GLOBAL,PWRBIOBOLXX,2044,0.5
