REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOARGXX,2023,0.151
GLOBAL,PWRBIOARGXX,2024,0.151
GLOBAL,PWRBIOARGXX,2025,0.151
GLOBAL,PWRBIOARGXX,2026,0.151
GLOBAL,PWRBIOARGXX,2027,0.151
GLOBAL,PWRBIOARGXX,2028,0.151
GLOBAL,PWRBIOARGXX,2029,0.151
GLOBAL,PWRBIOARGXX,2030,0.151
GLOBAL,PWRBIOARGXX,2031,0.151
GLOBAL,PWRBIOARGXX,2032,0.151
GLOBAL,PWRBIOARGXX,2033,0.151
GLOBAL,PWRBIOARGXX,2034,0.151
GLOBAL,PWRBIOARGXX,2035,0.151
GLOBAL,PWRBIOARGXX,2036,0.151
GLOBAL,PWRBIOARGXX,2037,0.151
GLOBAL,PWRBIOARGXX,2038,0.151
GLOBAL,PWRBIOARGXX,2039,0.151
GLOBAL,PWRBIOARGXX,2040,0.151
GLOBAL,PWRBIOARGXX,2041,0.151
GLOBAL,PWRBIOARGXX,2042,0.151
GLOBAL,PWRBIOARGXX,2043,0.151
GLOBAL,PWRBIOARGXX,2044,0.151
GLOBAL,PWRBIOARGXX,2045,0.151
GLOBAL,PWRBIOARGXX,2046,0.151
GLOBAL,PWRBIOARGXX,2047,0.151
GLOBAL,PWRBIOARGXX,2048,0.151
GLOBAL,PWRBIOARGXX,2049,0.151
GLOBAL,PWRBIOARGXX,2050,0.151
GLOBAL,PWRBIOBOLXX,2023,0.2238
GLOBAL,PWRBIOBOLXX,2024,0.2238
GLOBAL,PWRBIOBOLXX,2025,0.2238
GLOBAL,PWRBIOBOLXX,2026,0.2238
GLOBAL,PWRBIOBOLXX,2027,0.2238
GLOBAL,PWRBIOBOLXX,2028,0.2238
GLOBAL,PWRBIOBOLXX,2029,0.2238
GLOBAL,PWRBIOBOLXX,2030,0.2238
GLOBAL,PWRBIOBOLXX,2031,0.2238
GLOBAL,PWRBIOBOLXX,2032,0.2238
GLOBAL,PWRBIOBOLXX,2033,0.2238
GLOBAL,PWRBIOBOLXX,2034,0.2238
GLOBAL,PWRBIOBOLXX,2035,0.2238
GLOBAL,PWRBIOBOLXX,2036,0.2238
GLOBAL,PWRBIOBOLXX,2037,0.2238
GLOBAL,PWRBIOBOLXX,2038,0.2238
GLOBAL,PWRBIOBOLXX,2039,0.2238
GLOBAL,PWRBIOBOLXX,2040,0.2238
GLOBAL,PWRBIOBOLXX,2041,0.2238
GLOBAL,PWRBIOBOLXX,2042,0.2238
GLOBAL,PWRBIOBOLXX,2043,0.2238
GLOBAL,PWRBIOBOLXX,2044,0.2238
GLOBAL,PWRBIOBOLXX,2045,0.2238
GLOBAL,PWRBIOBOLXX,2046,0.2238
GLOBAL,PWRBIOBOLXX,2047,0.2238
GLOBAL,PWRBIOBOLXX,2048,0.2238
GLOBAL,PWRBIOBOLXX,2049,0.2238
GLOBAL,PWRBIOBOLXX,2050,0.2238
GLOBAL,PWRBIOBRAXX,2023,13.655
GLOBAL,PWRBIOBRAXX,2024,13.655
GLOBAL,PWRBIOBRAXX,2025,13.655
GLOBAL,PWRBIOBRAXX,2026,13.655
GLOBAL,PWRBIOBRAXX,2027,13.655
GLOBAL,PWRBIOBRAXX,2028,13.655
GLOBAL,PWRBIOBRAXX,2029,13.655
GLOBAL,PWRBIOBRAXX,2030,13.655
GLOBAL,PWRBIOBRAXX,2031,13.655
GLOBAL,PWRBIOBRAXX,2032,13.655
GLOBAL,PWRBIOBRAXX,2033,13.655
GLOBAL,PWRBIOBRAXX,2034,13.655
GLOBAL,PWRBIOBRAXX,2035,13.655
GLOBAL,PWRBIOBRAXX,2036,13.655
GLOBAL,PWRBIOBRAXX,2037,13.655
GLOBAL,PWRBIOBRAXX,2038,13.655
GLOBAL,PWRBIOBRAXX,2039,13.655
GLOBAL,PWRBIOBRAXX,2040,13.655
GLOBAL,PWRBIOBRAXX,2041,13.655
GLOBAL,PWRBIOBRAXX,2042,13.655
GLOBAL,PWRBIOBRAXX,2043,13.655
GLOBAL,PWRBIOBRAXX,2044,13.655
GLOBAL,PWRBIOBRAXX,2045,13.655
GLOBAL,PWRBIOBRAXX,2046,13.655
GLOBAL,PWRBIOBRAXX,2047,13.655
GLOBAL,PWRBIOBRAXX,2048,13.655
GLOBAL,PWRBIOBRAXX,2049,13.655
GLOBAL,PWRBIOBRAXX,2050,13.655
GLOBAL,PWRBIOCHLXX,2023,0.6045
GLOBAL,PWRBIOCHLXX,2024,0.6045
GLOBAL,PWRBIOCHLXX,2025,0.6045
GLOBAL,PWRBIOCHLXX,2026,0.6045
GLOBAL,PWRBIOCHLXX,2027,0.6045
GLOBAL,PWRBIOCHLXX,2028,0.6045
GLOBAL,PWRBIOCHLXX,2029,0.6045
GLOBAL,PWRBIOCHLXX,2030,0.6045
GLOBAL,PWRBIOCHLXX,2031,0.6045
GLOBAL,PWRBIOCHLXX,2032,0.6045
GLOBAL,PWRBIOCHLXX,2033,0.6045
GLOBAL,PWRBIOCHLXX,2034,0.6045
GLOBAL,PWRBIOCHLXX,2035,0.6045
GLOBAL,PWRBIOCHLXX,2036,0.6045
GLOBAL,PWRBIOCHLXX,2037,0.6045
GLOBAL,PWRBIOCHLXX,2038,0.6045
GLOBAL,PWRBIOCHLXX,2039,0.6045
GLOBAL,PWRBIOCHLXX,2040,0.6045
GLOBAL,PWRBIOCHLXX,2041,0.6045
GLOBAL,PWRBIOCHLXX,2042,0.6045
GLOBAL,PWRBIOCHLXX,2043,0.6045
GLOBAL,PWRBIOCHLXX,2044,0.6045
GLOBAL,PWRBIOCHLXX,2045,0.6045
GLOBAL,PWRBIOCHLXX,2046,0.6045
GLOBAL,PWRBIOCHLXX,2047,0.6045
GLOBAL,PWRBIOCHLXX,2048,0.6045
GLOBAL,PWRBIOCHLXX,2049,0.6045
GLOBAL,PWRBIOCHLXX,2050,0.6045
GLOBAL,PWRBIOCOLXX,2023,0.2103
GLOBAL,PWRBIOCOLXX,2024,0.2103
GLOBAL,PWRBIOCOLXX,2025,0.2103
GLOBAL,PWRBIOCOLXX,2026,0.2103
GLOBAL,PWRBIOCOLXX,2027,0.2103
GLOBAL,PWRBIOCOLXX,2028,0.2103
GLOBAL,PWRBIOCOLXX,2029,0.2103
GLOBAL,PWRBIOCOLXX,2030,0.2103
GLOBAL,PWRBIOCOLXX,2031,0.2103
GLOBAL,PWRBIOCOLXX,2032,0.2103
GLOBAL,PWRBIOCOLXX,2033,0.2103
GLOBAL,PWRBIOCOLXX,2034,0.2103
GLOBAL,PWRBIOCOLXX,2035,0.2103
GLOBAL,PWRBIOCOLXX,2036,0.2103
GLOBAL,PWRBIOCOLXX,2037,0.2103
GLOBAL,PWRBIOCOLXX,2038,0.2103
GLOBAL,PWRBIOCOLXX,2039,0.2103
GLOBAL,PWRBIOCOLXX,2040,0.2103
GLOBAL,PWRBIOCOLXX,2041,0.2103
GLOBAL,PWRBIOCOLXX,2042,0.2103
GLOBAL,PWRBIOCOLXX,2043,0.2103
GLOBAL,PWRBIOCOLXX,2044,0.2103
GLOBAL,PWRBIOCOLXX,2045,0.2103
GLOBAL,PWRBIOCOLXX,2046,0.2103
GLOBAL,PWRBIOCOLXX,2047,0.2103
GLOBAL,PWRBIOCOLXX,2048,0.2103
GLOBAL,PWRBIOCOLXX,2049,0.2103
GLOBAL,PWRBIOCOLXX,2050,0.2103
GLOBAL,PWRBIOCRIXX,2023,0.071
GLOBAL,PWRBIOCRIXX,2024,0.071
GLOBAL,PWRBIOCRIXX,2025,0.071
GLOBAL,PWRBIOCRIXX,2026,0.071
GLOBAL,PWRBIOCRIXX,2027,0.071
GLOBAL,PWRBIOCRIXX,2028,0.071
GLOBAL,PWRBIOCRIXX,2029,0.071
GLOBAL,PWRBIOCRIXX,2030,0.071
GLOBAL,PWRBIOCRIXX,2031,0.071
GLOBAL,PWRBIOCRIXX,2032,0.071
GLOBAL,PWRBIOCRIXX,2033,0.071
GLOBAL,PWRBIOCRIXX,2034,0.071
