REGION,FUEL,YEAR,VALUE
GLOBAL,ELCARGXX02,2023,469.23
GLOBAL,ELCARGXX02,2024,473.36
GLOBAL,ELCARGXX02,2025,479.88
GLOBAL,ELCARGXX02,2026,486.43
GLOBAL,ELCARGXX02,2027,493.03
GLOBAL,ELCARGXX02,2028,499.67
GLOBAL,ELCARGXX02,2029,506.36
GLOBAL,ELCARGXX02,2030,513.08
GLOBAL,ELCARGXX02,2031,519.84
GLOBAL,ELCARGXX02,2032,526.65
GLOBAL,ELCARGXX02,2033,533.5
GLOBAL,ELCARGXX02,2034,540.38
GLOBAL,ELCARGXX02,2035,547.31
GLOBAL,ELCARGXX02,2036,554.28
GLOBAL,ELCARGXX02,2037,561.3
GLOBAL,ELCARGXX02,2038,568.35
GLOBAL,ELCARGXX02,2039,575.45
GLOBAL,ELCARGXX02,2040,582.58
GLOBAL,ELCARGXX02,2041,589.76
GLOBAL,ELCARGXX02,2042,596.98
GLOBAL,ELCARGXX02,2043,604.24
GLOBAL,ELCARGXX02,2044,611.54
GLOBAL,ELCARGXX02,2045,618.88
GLOBAL,ELCARGXX02,2046,626.26
GLOBAL,ELCARGXX02,2047,633.69
GLOBAL,ELCARGXX02,2048,641.16
GLOBAL,ELCARGXX02,2049,648.66
GLOBAL,ELCARGXX02,2050,656.21
GLOBAL,ELCBOLXX02,2023,43.08
GLOBAL,ELCBOLXX02,2024,45.83
GLOBAL,ELCBOLXX02,2025,48.82
GLOBAL,ELCBOLXX02,2026,51.84
GLOBAL,ELCBOLXX02,2027,54.88
GLOBAL,ELCBOLXX02,2028,57.96
GLOBAL,ELCBOLXX02,2029,61.06
GLOBAL,ELCBOLXX02,2030,64.19
GLOBAL,ELCBOLXX02,2031,67.34
GLOBAL,ELCBOLXX02,2032,70.53
GLOBAL,ELCBOLXX02,2033,73.74
GLOBAL,ELCBOLXX02,2034,76.98
GLOBAL,ELCBOLXX02,2035,80.24
GLOBAL,ELCBOLXX02,2036,83.54
GLOBAL,ELCBOLXX02,2037,86.86
GLOBAL,ELCBOLXX02,2038,90.21
GLOBAL,ELCBOLXX02,2039,93.58
GLOBAL,ELCBOLXX02,2040,96.99
GLOBAL,ELCBOLXX02,2041,100.42
GLOBAL,ELCBOLXX02,2042,103.88
GLOBAL,ELCBOLXX02,2043,107.36
GLOBAL,ELCBOLXX02,2044,110.88
GLOBAL,ELCBOLXX02,2045,114.42
GLOBAL,ELCBOLXX02,2046,117.99
GLOBAL,ELCBOLXX02,2047,121.58
GLOBAL,ELCBOLXX02,2048,125.21
GLOBAL,ELCBOLXX02,2049,128.86
GLOBAL,ELCBOLXX02,2050,132.54
GLOBAL,ELCBRAXX02,2023,2549.23
GLOBAL,ELCBRAXX02,2024,2605.06
GLOBAL,ELCBRAXX02,2025,2674.19
GLOBAL,ELCBRAXX02,2026,2743.88
GLOBAL,ELCBRAXX02,2027,2814.13
GLOBAL,ELCBRAXX02,2028,2884.94
GLOBAL,ELCBRAXX02,2029,2956.3
GLOBAL,ELCBRAXX02,2030,3028.23
GLOBAL,ELCBRAXX02,2031,3100.71
GLOBAL,ELCBRAXX02,2032,3173.75
GLOBAL,ELCBRAXX02,2033,3247.35
GLOBAL,ELCBRAXX02,2034,3321.51
GLOBAL,ELCBRAXX02,2035,3396.22
GLOBAL,ELCBRAXX02,2036,3471.49
GLOBAL,ELCBRAXX02,2037,3547.33
GLOBAL,ELCBRAXX02,2038,3623.72
GLOBAL,ELCBRAXX02,2039,3700.66
GLOBAL,ELCBRAXX02,2040,3778.17
GLOBAL,ELCBRAXX02,2041,3856.24
GLOBAL,ELCBRAXX02,2042,3934.86
GLOBAL,ELCBRAXX02,2043,4014.04
GLOBAL,ELCBRAXX02,2044,4093.78
GLOBAL,ELCBRAXX02,2045,4174.08
GLOBAL,ELCBRAXX02,2046,4254.94
GLOBAL,ELCBRAXX02,2047,4336.35
GLOBAL,ELCBRAXX02,2048,4418.32
GLOBAL,ELCBRAXX02,2049,4500.86
GLOBAL,ELCBRAXX02,2050,4583.94
GLOBAL,ELCBRBXX02,2023,3.87
GLOBAL,ELCBRBXX02,2024,4.12
GLOBAL,ELCBRBXX02,2025,4.39
GLOBAL,ELCBRBXX02,2026,4.66
GLOBAL,ELCBRBXX02,2027,4.94
GLOBAL,ELCBRBXX02,2028,5.21
GLOBAL,ELCBRBXX02,2029,5.49
GLOBAL,ELCBRBXX02,2030,5.77
GLOBAL,ELCBRBXX02,2031,6.06
GLOBAL,ELCBRBXX02,2032,6.34
GLOBAL,ELCBRBXX02,2033,6.63
GLOBAL,ELCBRBXX02,2034,6.92
GLOBAL,ELCBRBXX02,2035,7.22
GLOBAL,ELCBRBXX02,2036,7.51
GLOBAL,ELCBRBXX02,2037,7.81
GLOBAL,ELCBRBXX02,2038,8.11
GLOBAL,ELCBRBXX02,2039,8.42
GLOBAL,ELCBRBXX02,2040,8.72
GLOBAL,ELCBRBXX02,2041,9.03
GLOBAL,ELCBRBXX02,2042,9.34
GLOBAL,ELCBRBXX02,2043,9.65
GLOBAL,ELCBRBXX02,2044,9.97
GLOBAL,ELCBRBXX02,2045,10.29
GLOBAL,ELCBRBXX02,2046,10.61
GLOBAL,ELCBRBXX02,2047,10.93
GLOBAL,ELCBRBXX02,2048,11.26
GLOBAL,ELCBRBXX02,2049,11.59
GLOBAL,ELCBRBXX02,2050,11.92
GLOBAL,ELCCHLXX02,2023,302.39
GLOBAL,ELCCHLXX02,2024,318.54
GLOBAL,ELCCHLXX02,2025,336.36
GLOBAL,ELCCHLXX02,2026,354.34
GLOBAL,ELCCHLXX02,2027,372.49
GLOBAL,ELCCHLXX02,2028,390.79
GLOBAL,ELCCHLXX02,2029,409.26
GLOBAL,ELCCHLXX02,2030,427.89
GLOBAL,ELCCHLXX02,2031,446.68
GLOBAL,ELCCHLXX02,2032,465.63
GLOBAL,ELCCHLXX02,2033,484.74
GLOBAL,ELCCHLXX02,2034,504.02
GLOBAL,ELCCHLXX02,2035,523.46
GLOBAL,ELCCHLXX02,2036,543.05
GLOBAL,ELCCHLXX02,2037,562.81
GLOBAL,ELCCHLXX02,2038,582.73
GLOBAL,ELCCHLXX02,2039,602.81
GLOBAL,ELCCHLXX02,2040,623.06
GLOBAL,ELCCHLXX02,2041,643.46
GLOBAL,ELCCHLXX02,2042,664.03
GLOBAL,ELCCHLXX02,2043,684.76
GLOBAL,ELCCHLXX02,2044,705.65
GLOBAL,ELCCHLXX02,2045,726.7
GLOBAL,ELCCHLXX02,2046,747.91
GLOBAL,ELCCHLXX02,2047,769.28
GLOBAL,ELCCHLXX02,2048,790.82
GLOBAL,ELCCHLXX02,2049,812.51
GLOBAL,ELCCHLXX02,2050,834.37
GLOBAL,ELCCOLXX02,2023,290.09
GLOBAL,ELCCOLXX02,2024,300.79
GLOBAL,ELCCOLXX02,2025,313.06
GLOBAL,ELCCOLXX02,2026,325.42
GLOBAL,ELCCOLXX02,2027,337.9
GLOBAL,ELCCOLXX02,2028,350.48
GLOBAL,ELCCOLXX02,2029,363.17
GLOBAL,ELCCOLXX02,2030,375.97
GLOBAL,ELCCOLXX02,2031,388.87
GLOBAL,ELCCOLXX02,2032,401.89
GLOBAL,ELCCOLXX02,2033,415.0
GLOBAL,ELCCOLXX02,2034,428.23
GLOBAL,ELCCOLXX02,2035,441.56
GLOBAL,ELCCOLXX02,2036,455.0
GLOBAL,ELCCOLXX02,2037,468.55
GLOBAL,ELCCOLXX02,2038,482.2
GLOBAL,ELCCOLXX02,2039,495.96
GLOBAL,ELCCOLXX02,2040,509.83
GLOBAL,ELCCOLXX02,2041,523.8
GLOBAL,ELCCOLXX02,2042,537.88
GLOBAL,ELCCOLXX02,2043,552.07
GLOBAL,ELCCOLXX02,2044,566.37
