REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,TRNARGXXBOLXX,2023,0.0
GLOBAL,TRNARGXXBOLXX,2024,0.0
GLOBAL,TRNARGXXBOLXX,2025,0.0
GLOBAL,TRNARGXXBOLXX,2026,0.0
GLOBAL,TRNARGXXBOLXX,2027,0.0
GLOBAL,TRNARGXXBOLXX,2028,0.0
GLOBAL,TRNARGXXBOLXX,2029,0.0
GLOBAL,TRNARGXXBOLXX,2030,0.0
GLOBAL,TRNARGXXBOLXX,2031,0.0
GLOBAL,TRNARGXXBOLXX,2032,0.0
GLOBAL,TRNARGXXBOLXX,2033,0.0
GLOBAL,TRNARGXXBOLXX,2034,0.0
GLOBAL,TRNARGXXBOLXX,2035,0.0
GLOBAL,TRNARGXXBOLXX,2036,0.0
GLOBAL,TRNARGXXBOLXX,2037,0.0
GLOBAL,TRNARGXXBOLXX,2038,0.0
GLOBAL,TRNARGXXBOLXX,2039,0.0
GLOBAL,TRNARGXXBOLXX,2040,0.0
GLOBAL,TRNARGXXBOLXX,2041,0.0
GLOBAL,TRNARGXXBOLXX,2042,0.0
GLOBAL,TRNARGXXBOLXX,2043,0.0
GLOBAL,TRNARGXXBOLXX,2044,0.0
GLOBAL,TRNARGXXBOLXX,2045,0.0
GLOBAL,TRNARGXXBOLXX,2046,0.0
GLOBAL,TRNARGXXBOLXX,2047,0.0
GLOBAL,TRNARGXXBOLXX,2048,0.0
GLOBAL,TRNARGXXBOLXX,2049,0.0
GLOBAL,TRNARGXXBOLXX,2050,0.0
GLOBAL,TRNARGXXBRAXX,2023,0.0
GLOBAL,TRNARGXXBRAXX,2024,0.0
GLOBAL,TRNARGXXBRAXX,2025,0.0
GLOBAL,TRNARGXXBRAXX,2026,0.0
GLOBAL,TRNARGXXBRAXX,2027,0.0
GLOBAL,TRNARGXXBRAXX,2028,0.0
GLOBAL,TRNARGXXBRAXX,2029,0.0
GLOBAL,TRNARGXXBRAXX,2030,0.0
GLOBAL,TRNARGXXBRAXX,2031,0.0
GLOBAL,TRNARGXXBRAXX,2032,0.0
GLOBAL,TRNARGXXBRAXX,2033,0.0
GLOBAL,TRNARGXXBRAXX,2034,0.0
GLOBAL,TRNARGXXBRAXX,2035,0.0
GLOBAL,TRNARGXXBRAXX,2036,0.0
GLOBAL,TRNARGXXBRAXX,2037,0.0
GLOBAL,TRNARGXXBRAXX,2038,0.0
GLOBAL,TRNARGXXBRAXX,2039,0.0
GLOBAL,TRNARGXXBRAXX,2040,0.0
GLOBAL,TRNARGXXBRAXX,2041,0.0
GLOBAL,TRNARGXXBRAXX,2042,0.0
GLOBAL,TRNARGXXBRAXX,2043,0.0
GLOBAL,TRNARGXXBRAXX,2044,0.0
GLOBAL,TRNARGXXBRAXX,2045,0.0
GLOBAL,TRNARGXXBRAXX,2046,0.0
GLOBAL,TRNARGXXBRAXX,2047,0.0
GLOBAL,TRNARGXXBRAXX,2048,0.0
GLOBAL,TRNARGXXBRAXX,2049,0.0
GLOBAL,TRNARGXXBRAXX,2050,0.0
GLOBAL,TRNARGXXCHLXX,2023,0.0
GLOBAL,TRNARGXXCHLXX,2024,0.0
GLOBAL,TRNARGXXCHLXX,2025,0.0
GLOBAL,TRNARGXXCHLXX,2026,0.0
GLOBAL,TRNARGXXCHLXX,2027,0.0
GLOBAL,TRNARGXXCHLXX,2028,0.0
GLOBAL,TRNARGXXCHLXX,2029,0.0
GLOBAL,TRNARGXXCHLXX,2030,0.0
GLOBAL,TRNARGXXCHLXX,2031,0.0
GLOBAL,TRNARGXXCHLXX,2032,0.0
GLOBAL,TRNARGXXCHLXX,2033,0.0
GLOBAL,TRNARGXXCHLXX,2034,0.0
GLOBAL,TRNARGXXCHLXX,2035,0.0
GLOBAL,TRNARGXXCHLXX,2036,0.0
GLOBAL,TRNARGXXCHLXX,2037,0.0
GLOBAL,TRNARGXXCHLXX,2038,0.0
GLOBAL,TRNARGXXCHLXX,2039,0.0
GLOBAL,TRNARGXXCHLXX,2040,0.0
GLOBAL,TRNARGXXCHLXX,2041,0.0
GLOBAL,TRNARGXXCHLXX,2042,0.0
GLOBAL,TRNARGXXCHLXX,2043,0.0
GLOBAL,TRNARGXXCHLXX,2044,0.0
GLOBAL,TRNARGXXCHLXX,2045,0.0
GLOBAL,TRNARGXXCHLXX,2046,0.0
GLOBAL,TRNARGXXCHLXX,2047,0.0
GLOBAL,TRNARGXXCHLXX,2048,0.0
GLOBAL,TRNARGXXCHLXX,2049,0.0
GLOBAL,TRNARGXXCHLXX,2050,0.0
GLOBAL,TRNARGXXPRYXX,2023,0.0
GLOBAL,TRNARGXXPRYXX,2024,0.0
GLOBAL,TRNARGXXPRYXX,2025,0.0
GLOBAL,TRNARGXXPRYXX,2026,0.0
GLOBAL,TRNARGXXPRYXX,2027,0.0
GLOBAL,TRNARGXXPRYXX,2028,0.0
GLOBAL,TRNARGXXPRYXX,2029,0.0
GLOBAL,TRNARGXXPRYXX,2030,0.0
GLOBAL,TRNARGXXPRYXX,2031,0.0
GLOBAL,TRNARGXXPRYXX,2032,0.0
GLOBAL,TRNARGXXPRYXX,2033,0.0
GLOBAL,TRNARGXXPRYXX,2034,0.0
GLOBAL,TRNARGXXPRYXX,2035,0.0
GLOBAL,TRNARGXXPRYXX,2036,0.0
GLOBAL,TRNARGXXPRYXX,2037,0.0
GLOBAL,TRNARGXXPRYXX,2038,0.0
GLOBAL,TRNARGXXPRYXX,2039,0.0
GLOBAL,TRNARGXXPRYXX,2040,0.0
GLOBAL,TRNARGXXPRYXX,2041,0.0
GLOBAL,TRNARGXXPRYXX,2042,0.0
GLOBAL,TRNARGXXPRYXX,2043,0.0
GLOBAL,TRNARGXXPRYXX,2044,0.0
GLOBAL,TRNARGXXPRYXX,2045,0.0
