REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOCOLXX,2023,
GLOBAL,PWRBIOCOLXX,2024,
GLOBAL,PWRBIOCOLXX,2025,
GLOBAL,PWRBIOCOLXX,2026,
GLOBAL,PWRBIOCOLXX,2027,
GLOBAL,PWRBIOCOLXX,2028,
GLOBAL,PWRBIOCOLXX,2029,
GLOBAL,PWRBIOCOLXX,2030,
GLOBAL,PWRBIOCOLXX,2031,0.025
GLOBAL,PWRBIOCOLXX,2032,
GLOBAL,PWRBIOCOLXX,2033,0.01
GLOBAL,PWRBIOCOLXX,2034,
GLOBAL,PWRBIOCOLXX,2035,
GLOBAL,PWRBIOCOLXX,2036,
GLOBAL,PWRBIOCOLXX,2037,
GLOBAL,PWRBIOCOLXX,2038,
GLOBAL,PWRBIOCOLXX,2039,
GLOBAL,PWRBIOCOLXX,2040,
GLOBAL,PWRBIOCOLXX,2041,
GLOBAL,PWRBIOCOLXX,2042,
GLOBAL,PWRBIOCOLXX,2043,
GLOBAL,PWRBIOCOLXX,2044,
GLOBAL,PWRBIOCOLXX,2045,
GLOBAL,PWRBIOCOLXX,2046,
GLOBAL,PWRBIOCOLXX,2047,
GLOBAL,PWRBIOCOLXX,2048,
GLOBAL,PWRBIOCOLXX,2049,
GLOBAL,PWRBIOCOLXX,2050,
GLOBAL,PWRBIOCRIXX,2023,
GLOBAL,PWRBIOCRIXX,2024,
GLOBAL,PWRBIOCRIXX,2025,
GLOBAL,PWRBIOCRIXX,2026,0.02
GLOBAL,PWRBIOCRIXX,2027,
GLOBAL,PWRBIOCRIXX,2028,
GLOBAL,PWRBIOCRIXX,2029,
GLOBAL,PWRBIOCRIXX,2030,
GLOBAL,PWRBIOCRIXX,2031,
GLOBAL,PWRBIOCRIXX,2032,
GLOBAL,PWRBIOCRIXX,2033,
GLOBAL,PWRBIOCRIXX,2034,
GLOBAL,PWRBIOCRIXX,2035,
GLOBAL,PWRBIOCRIXX,2036,
GLOBAL,PWRBIOCRIXX,2037,
GLOBAL,PWRBIOCRIXX,2038,
GLOBAL,PWRBIOCRIXX,2039,
GLOBAL,PWRBIOCRIXX,2040,
GLOBAL,PWRBIOCRIXX,2041,
GLOBAL,PWRBIOCRIXX,2042,
GLOBAL,PWRBIOCRIXX,2043,
GLOBAL,PWRBIOCRIXX,2044,
GLOBAL,PWRBIOCRIXX,2045,
GLOBAL,PWRBIOCRIXX,2046,
GLOBAL,PWRBIOCRIXX,2047,
GLOBAL,PWRBIOCRIXX,2048,
GLOBAL,PWRBIOCRIXX,2049,
GLOBAL,PWRBIOCRIXX,2050,
GLOBAL,PWRBIOECUXX,2023,
GLOBAL,PWRBIOECUXX,2024,
GLOBAL,PWRBIOECUXX,2025,
GLOBAL,PWRBIOECUXX,2026,
GLOBAL,PWRBIOECUXX,2027,
GLOBAL,PWRBIOECUXX,2028,0.03
GLOBAL,PWRBIOECUXX,2029,
GLOBAL,PWRBIOECUXX,2030,
GLOBAL,PWRBIOECUXX,2031,
GLOBAL,PWRBIOECUXX,2032,
GLOBAL,PWRBIOECUXX,2033,
GLOBAL,PWRBIOECUXX,2034,
GLOBAL,PWRBIOECUXX,2035,
GLOBAL,PWRBIOECUXX,2036,
GLOBAL,PWRBIOECUXX,2037,
GLOBAL,PWRBIOECUXX,2038,
GLOBAL,PWRBIOECUXX,2039,
GLOBAL,PWRBIOECUXX,2040,
GLOBAL,PWRBIOECUXX,2041,
GLOBAL,PWRBIOECUXX,2042,
GLOBAL,PWRBIOECUXX,2043,
GLOBAL,PWRBIOECUXX,2044,
GLOBAL,PWRBIOECUXX,2045,
GLOBAL,PWRBIOECUXX,2046,
GLOBAL,PWRBIOECUXX,2047,
GLOBAL,PWRBIOECUXX,2048,
GLOBAL,PWRBIOECUXX,2049,
GLOBAL,PWRBIOECUXX,2050,
GLOBAL,PWRGEOCHLXX,2023,
GLOBAL,PWRGEOCHLXX,2024,
GLOBAL,PWRGEOCHLXX,2025,
