REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRGEOHNDXX,2023,0.09
GLOBAL,PWRGEOHNDXX,2024,0.09
GLOBAL,PWRGEOHNDXX,2025,0.09
GLOBAL,PWRGEOHNDXX,2026,0.09
GLOBAL,PWRGEOHNDXX,2027,0.09
GLOBAL,PWRGEOHNDXX,2028,0.09
GLOBAL,PWRGEOHNDXX,2029,0.09
GLOBAL,PWRGEOHNDXX,2030,0.09
GLOBAL,PWRGEOHNDXX,2031,0.09
GLOBAL,PWRGEOHNDXX,2032,0.09
GLOBAL,PWRGEOHNDXX,2033,0.0909
GLOBAL,PWRGEOHNDXX,2034,0.0909
GLOBAL,PWRGEOHNDXX,2035,0.0909
GLOBAL,PWRGEOHNDXX,2036,0.0909
GLOBAL,PWRGEOHNDXX,2037,0.0909
GLOBAL,PWRGEOHNDXX,2038,0.0909
GLOBAL,PWRGEOHNDXX,2039,0.0909
GLOBAL,PWRGEOHNDXX,2040,0.0909
GLOBAL,PWRGEOHNDXX,2041,0.0909
GLOBAL,PWRGEOHNDXX,2042,0.0909
GLOBAL,PWRGEOHNDXX,2043,0.0909
GLOBAL,PWRGEOHNDXX,2044,0.0909
GLOBAL,PWRGEOHNDXX,2045,0.0909
GLOBAL,PWRGEOHNDXX,2046,0.0909
GLOBAL,PWRGEOHNDXX,2047,0.0909
GLOBAL,PWRGEOHNDXX,2048,0.0909
GLOBAL,PWRGEOHNDXX,2049,0.0909
GLOBAL,PWRGEOHNDXX,2050,0.0909
GLOBAL,PWRTRNARGXX,2023,31.3144
GLOBAL,PWRTRNARGXX,2024,31.3144
GLOBAL,PWRTRNARGXX,2025,31.3144
GLOBAL,PWRTRNARGXX,2026,31.3144
GLOBAL,PWRTRNARGXX,2027,31.3144
GLOBAL,PWRTRNARGXX,2028,31.3144
GLOBAL,PWRTRNARGXX,2029,31.3144
GLOBAL,PWRTRNARGXX,2030,31.3144
GLOBAL,PWRTRNARGXX,2031,31.3144
GLOBAL,PWRTRNARGXX,2032,31.3144
GLOBAL,PWRTRNARGXX,2033,31.3144
GLOBAL,PWRTRNARGXX,2034,31.3144
GLOBAL,PWRTRNARGXX,2035,31.3144
GLOBAL,PWRTRNARGXX,2036,31.3144
GLOBAL,PWRTRNARGXX,2037,31.3144
GLOBAL,PWRTRNARGXX,2038,31.3144
GLOBAL,PWRTRNARGXX,2039,31.3144
GLOBAL,PWRTRNARGXX,2040,31.3144
GLOBAL,PWRTRNARGXX,2041,31.3144
GLOBAL,PWRTRNARGXX,2042,31.3144
GLOBAL,PWRTRNARGXX,2043,31.3144
GLOBAL,PWRTRNARGXX,2044,31.3144
GLOBAL,PWRTRNARGXX,2045,31.3144
GLOBAL,PWRTRNARGXX,2046,31.3144
GLOBAL,PWRTRNARGXX,2047,31.3144
GLOBAL,PWRTRNARGXX,2048,31.3144
GLOBAL,PWRTRNARGXX,2049,31.3144
GLOBAL,PWRTRNARGXX,2050,31.3144
GLOBAL,PWRTRNBOLXX,2023,3.0098
GLOBAL,PWRTRNBOLXX,2024,3.0098
GLOBAL,PWRTRNBOLXX,2025,3.4703
GLOBAL,PWRTRNBOLXX,2026,3.8323
GLOBAL,PWRTRNBOLXX,2027,3.982
GLOBAL,PWRTRNBOLXX,2028,4.9768
GLOBAL,PWRTRNBOLXX,2029,4.9768
GLOBAL,PWRTRNBOLXX,2030,5.1614
GLOBAL,PWRTRNBOLXX,2031,5.1614
GLOBAL,PWRTRNBOLXX,2032,5.6056
GLOBAL,PWRTRNBOLXX,2033,5.6056
GLOBAL,PWRTRNBOLXX,2034,5.6056
GLOBAL,PWRTRNBOLXX,2035,5.6546
GLOBAL,PWRTRNBOLXX,2036,5.9071
GLOBAL,PWRTRNBOLXX,2037,6.1351
GLOBAL,PWRTRNBOLXX,2038,6.1351
GLOBAL,PWRTRNBOLXX,2039,6.1667
GLOBAL,PWRTRNBOLXX,2040,6.3209
GLOBAL,PWRTRNBOLXX,2041,6.3209
GLOBAL,PWRTRNBOLXX,2042,6.3423
GLOBAL,PWRTRNBOLXX,2043,6.3619
