REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
GLOBAL,PWRBDSCHLXX,BDSCHLXX01,1,1
GLOBAL,PWRBDSCHLXX,BDSCHLXX01,2,0
GLOBAL,PWRBDSPERXX,BDSPERXX01,1,1
GLOBAL,PWRBDSPERXX,BDSPERXX01,2,0
GLOBAL,PWRLDSARGXX,LDSARGXX01,1,1
GLOBAL,PWRLDSARGXX,LDSARGXX01,2,0
GLOBAL,PWRLDSBOLXX,LDSBOLXX01,1,1
GLOBAL,PWRLDSBOLXX,LDSBOLXX01,2,0
GLOBAL,PWRLDSBRAXX,LDSBRAXX01,1,1
GLOBAL,PWRLDSBRAXX,LDSBRAXX01,2,0
GLOBAL,PWRLDSBRBXX,LDSBRBXX01,1,1
GLOBAL,PWRLDSBRBXX,LDSBRBXX01,2,0
GLOBAL,PWRLDSCHLXX,LDSCHLXX01,1,1
GLOBAL,PWRLDSCHLXX,LDSCHLXX01,2,0
GLOBAL,PWRLDSCOLXX,LDSCOLXX01,1,1
GLOBAL,PWRLDSCOLXX,LDSCOLXX01,2,0
GLOBAL,PWRLDSCRIXX,LDSCRIXX01,1,1
GLOBAL,PWRLDSCRIXX,LDSCRIXX01,2,0
GLOBAL,PWRLDSDOMXX,LDSDOMXX01,1,1
GLOBAL,PWRLDSDOMXX,LDSDOMXX01,2,0
GLOBAL,PWRLDSECUXX,LDSECUXX01,1,1
GLOBAL,PWRLDSECUXX,LDSECUXX01,2,0
GLOBAL,PWRLDSGTMXX,LDSGTMXX01,1,1
GLOBAL,PWRLDSGTMXX,LDSGTMXX01,2,0
GLOBAL,PWRLDSHNDXX,LDSHNDXX01,1,1
GLOBAL,PWRLDSHNDXX,LDSHNDXX01,2,0
GLOBAL,PWRLDSHTIXX,LDSHTIXX01,1,1
GLOBAL,PWRLDSHTIXX,LDSHTIXX01,2,0
GLOBAL,PWRLDSMEXXX,LDSMEXXX01,1,1
GLOBAL,PWRLDSMEXXX,LDSMEXXX01,2,0
GLOBAL,PWRLDSNICXX,LDSNICXX01,1,1
GLOBAL,PWRLDSNICXX,LDSNICXX01,2,0
GLOBAL,PWRLDSPANXX,LDSPANXX01,1,1
GLOBAL,PWRLDSPANXX,LDSPANXX01,2,0
GLOBAL,PWRLDSPERXX,LDSPERXX01,1,1
GLOBAL,PWRLDSPERXX,LDSPERXX01,2,0
GLOBAL,PWRLDSPRYXX,LDSPRYXX01,1,1
GLOBAL,PWRLDSPRYXX,LDSPRYXX01,2,0
GLOBAL,PWRLDSSLVXX,LDSSLVXX01,1,1
GLOBAL,PWRLDSSLVXX,LDSSLVXX01,2,0
GLOBAL,PWRLDSURYXX,LDSURYXX01,1,1
GLOBAL,PWRLDSURYXX,LDSURYXX01,2,0
GLOBAL,PWRSDSARGXX,SDSARGXX01,1,1
GLOBAL,PWRSDSARGXX,SDSARGXX01,2,0
GLOBAL,PWRSDSBOLXX,SDSBOLXX01,1,1
GLOBAL,PWRSDSBOLXX,SDSBOLXX01,2,0
GLOBAL,PWRSDSBRAXX,SDSBRAXX01,1,1
GLOBAL,PWRSDSBRAXX,SDSBRAXX01,2,0
GLOBAL,PWRSDSBRBXX,SDSBRBXX01,1,1
GLOBAL,PWRSDSBRBXX,SDSBRBXX01,2,0
GLOBAL,PWRSDSCHLXX,SDSCHLXX01,1,1
GLOBAL,PWRSDSCHLXX,SDSCHLXX01,2,0
GLOBAL,PWRSDSCOLXX,SDSCOLXX01,1,1
GLOBAL,PWRSDSCOLXX,SDSCOLXX01,2,0
GLOBAL,PWRSDSCRIXX,SDSCRIXX01,1,1
GLOBAL,PWRSDSCRIXX,SDSCRIXX01,2,0
GLOBAL,PWRSDSDOMXX,SDSDOMXX01,1,1
GLOBAL,PWRSDSDOMXX,SDSDOMXX01,2,0
GLOBAL,PWRSDSECUXX,SDSECUXX01,1,1
GLOBAL,PWRSDSECUXX,SDSECUXX01,2,0
GLOBAL,PWRSDSGTMXX,SDSGTMXX01,1,1
GLOBAL,PWRSDSGTMXX,SDSGTMXX01,2,0
GLOBAL,PWRSDSHNDXX,SDSHNDXX01,1,1
GLOBAL,PWRSDSHNDXX,SDSHNDXX01,2,0
GLOBAL,PWRSDSHTIXX,SDSHTIXX01,1,1
GLOBAL,PWRSDSHTIXX,SDSHTIXX01,2,0
GLOBAL,PWRSDSMEXXX,SDSMEXXX01,1,1
GLOBAL,PWRSDSMEXXX,SDSMEXXX01,2,0
GLOBAL,PWRSDSNICXX,SDSNICXX01,1,1
GLOBAL,PWRSDSNICXX,SDSNICXX01,2,0
GLOBAL,PWRSDSPANXX,SDSPANXX01,1,1
GLOBAL,PWRSDSPANXX,SDSPANXX01,2,0
GLOBAL,PWRSDSPERXX,SDSPERXX01,1,1
GLOBAL,PWRSDSPERXX,SDSPERXX01,2,0
GLOBAL,PWRSDSPRYXX,SDSPRYXX01,1,1
GLOBAL,PWRSDSPRYXX,SDSPRYXX01,2,0
GLOBAL,PWRSDSSLVXX,SDSSLVXX01,1,1
GLOBAL,PWRSDSSLVXX,SDSSLVXX01,2,0
GLOBAL,PWRSDSURYXX,SDSURYXX01,1,1
GLOBAL,PWRSDSURYXX,SDSURYXX01,2,0
