REGION,FUEL,YEAR,VALUE
GLOBAL,ELCARGXX03,2023,564.3
GLOBAL,ELCARGXX03,2024,544.72
GLOBAL,ELCARGXX03,2025,552.89
GLOBAL,ELCARGXX03,2026,561.18
GLOBAL,ELCARGXX03,2027,569.6
GLOBAL,ELCARGXX03,2028,578.15
GLOBAL,ELCARGXX03,2029,586.82
GLOBAL,ELCARGXX03,2030,594.68
GLOBAL,ELCARGXX03,2031,637.38
GLOBAL,ELCARGXX03,2032,683.14
GLOBAL,ELCARGXX03,2033,732.19
GLOBAL,ELCARGXX03,2034,784.76
GLOBAL,ELCARGXX03,2035,841.11
GLOBAL,ELCARGXX03,2036,901.5
GLOBAL,ELCARGXX03,2037,966.23
GLOBAL,ELCARGXX03,2038,1035.61
GLOBAL,ELCARGXX03,2039,1109.96
GLOBAL,ELCARGXX03,2040,1189.66
GLOBAL,ELCARGXX03,2041,1228.2
GLOBAL,ELCARGXX03,2042,1268.0
GLOBAL,ELCARGXX03,2043,1309.08
GLOBAL,ELCARGXX03,2044,1351.49
GLOBAL,ELCARGXX03,2045,1395.28
GLOBAL,ELCARGXX03,2046,1440.49
GLOBAL,ELCARGXX03,2047,1487.16
GLOBAL,ELCARGXX03,2048,1535.34
GLOBAL,ELCARGXX03,2049,1585.09
GLOBAL,ELCARGXX03,2050,1636.45
GLOBAL,ELCBOLXX03,2023,42.81
GLOBAL,ELCBOLXX03,2024,44.02
GLOBAL,ELCBOLXX03,2025,45.54
GLOBAL,ELCBOLXX03,2026,47.12
GLOBAL,ELCBOLXX03,2027,48.75
GLOBAL,ELCBOLXX03,2028,54.55
GLOBAL,ELCBOLXX03,2029,56.11
GLOBAL,ELCBOLXX03,2030,59.05
GLOBAL,ELCBOLXX03,2031,64.63
GLOBAL,ELCBOLXX03,2032,67.48
GLOBAL,ELCBOLXX03,2033,70.38
GLOBAL,ELCBOLXX03,2034,73.3
GLOBAL,ELCBOLXX03,2035,75.14
GLOBAL,ELCBOLXX03,2036,77.02
GLOBAL,ELCBOLXX03,2037,78.95
GLOBAL,ELCBOLXX03,2038,80.91
GLOBAL,ELCBOLXX03,2039,82.94
GLOBAL,ELCBOLXX03,2040,85.0
GLOBAL,ELCBOLXX03,2041,87.14
GLOBAL,ELCBOLXX03,2042,89.31
GLOBAL,ELCBOLXX03,2043,91.53
GLOBAL,ELCBOLXX03,2044,93.82
GLOBAL,ELCBOLXX03,2045,96.16
GLOBAL,ELCBOLXX03,2046,98.57
GLOBAL,ELCBOLXX03,2047,101.02
GLOBAL,ELCBOLXX03,2048,103.55
GLOBAL,ELCBOLXX03,2049,106.14
GLOBAL,ELCBOLXX03,2050,108.78
GLOBAL,ELCBRAXX03,2023,2599.63
GLOBAL,ELCBRAXX03,2024,2737.32
GLOBAL,ELCBRAXX03,2025,2846.81
GLOBAL,ELCBRAXX03,2026,2960.69
GLOBAL,ELCBRAXX03,2027,3079.11
GLOBAL,ELCBRAXX03,2028,3202.28
GLOBAL,ELCBRAXX03,2029,3330.37
GLOBAL,ELCBRAXX03,2030,3463.58
GLOBAL,ELCBRAXX03,2031,3602.13
GLOBAL,ELCBRAXX03,2032,3746.21
GLOBAL,ELCBRAXX03,2033,3896.06
GLOBAL,ELCBRAXX03,2034,4052.68
GLOBAL,ELCBRAXX03,2035,4168.59
GLOBAL,ELCBRAXX03,2036,4287.81
GLOBAL,ELCBRAXX03,2037,4410.01
GLOBAL,ELCBRAXX03,2038,4536.14
GLOBAL,ELCBRAXX03,2039,4665.87
GLOBAL,ELCBRAXX03,2040,4799.32
GLOBAL,ELCBRAXX03,2041,4936.58
GLOBAL,ELCBRAXX03,2042,5077.76
GLOBAL,ELCBRAXX03,2043,5222.99
GLOBAL,ELCBRAXX03,2044,5372.36
GLOBAL,ELCBRAXX03,2045,5526.01
GLOBAL,ELCBRAXX03,2046,5684.06
GLOBAL,ELCBRAXX03,2047,5846.62
GLOBAL,ELCBRAXX03,2048,6013.84
GLOBAL,ELCBRAXX03,2049,6185.83
GLOBAL,ELCBRAXX03,2050,6362.75
GLOBAL,ELCBRBXX03,2023,3.87
GLOBAL,ELCBRBXX03,2024,4.13
GLOBAL,ELCBRBXX03,2025,4.49
GLOBAL,ELCBRBXX03,2026,4.89
GLOBAL,ELCBRBXX03,2027,5.31
GLOBAL,ELCBRBXX03,2028,5.78
GLOBAL,ELCBRBXX03,2029,6.29
GLOBAL,ELCBRBXX03,2030,6.84
GLOBAL,ELCBRBXX03,2031,6.88
GLOBAL,ELCBRBXX03,2032,6.93
GLOBAL,ELCBRBXX03,2033,6.96
GLOBAL,ELCBRBXX03,2034,7.01
GLOBAL,ELCBRBXX03,2035,7.05
GLOBAL,ELCBRBXX03,2036,7.1
GLOBAL,ELCBRBXX03,2037,7.15
GLOBAL,ELCBRBXX03,2038,7.19
GLOBAL,ELCBRBXX03,2039,7.22
GLOBAL,ELCBRBXX03,2040,7.27
GLOBAL,ELCBRBXX03,2041,7.32
GLOBAL,ELCBRBXX03,2042,7.36
GLOBAL,ELCBRBXX03,2043,7.41
GLOBAL,ELCBRBXX03,2044,7.45
GLOBAL,ELCBRBXX03,2045,7.5
GLOBAL,ELCBRBXX03,2046,7.54
GLOBAL,ELCBRBXX03,2047,7.6
GLOBAL,ELCBRBXX03,2048,7.65
GLOBAL,ELCBRBXX03,2049,7.69
GLOBAL,ELCBRBXX03,2050,7.74
GLOBAL,ELCCHLXX03,2023,301.16
GLOBAL,ELCCHLXX03,2024,323.5
GLOBAL,ELCCHLXX03,2025,334.18
GLOBAL,ELCCHLXX03,2026,344.84
GLOBAL,ELCCHLXX03,2027,355.49
GLOBAL,ELCCHLXX03,2028,366.16
GLOBAL,ELCCHLXX03,2029,376.81
GLOBAL,ELCCHLXX03,2030,391.02
GLOBAL,ELCCHLXX03,2031,431.49
GLOBAL,ELCCHLXX03,2032,476.15
GLOBAL,ELCCHLXX03,2033,525.43
GLOBAL,ELCCHLXX03,2034,579.81
GLOBAL,ELCCHLXX03,2035,639.82
GLOBAL,ELCCHLXX03,2036,667.2
GLOBAL,ELCCHLXX03,2037,695.76
GLOBAL,ELCCHLXX03,2038,725.54
GLOBAL,ELCCHLXX03,2039,756.59
GLOBAL,ELCCHLXX03,2040,788.97
GLOBAL,ELCCHLXX03,2041,829.21
GLOBAL,ELCCHLXX03,2042,871.5
GLOBAL,ELCCHLXX03,2043,915.95
GLOBAL,ELCCHLXX03,2044,962.66
GLOBAL,ELCCHLXX03,2045,1011.76
GLOBAL,ELCCHLXX03,2046,1063.36
GLOBAL,ELCCHLXX03,2047,1117.59
GLOBAL,ELCCHLXX03,2048,1174.58
GLOBAL,ELCCHLXX03,2049,1234.49
GLOBAL,ELCCHLXX03,2050,1297.45
GLOBAL,ELCCOLXX03,2023,285.84
GLOBAL,ELCCOLXX03,2024,293.91
GLOBAL,ELCCOLXX03,2025,315.87
GLOBAL,ELCCOLXX03,2026,334.12
GLOBAL,ELCCOLXX03,2027,347.35
GLOBAL,ELCCOLXX03,2028,358.02
GLOBAL,ELCCOLXX03,2029,371.44
GLOBAL,ELCCOLXX03,2030,381.84
GLOBAL,ELCCOLXX03,2031,394.06
GLOBAL,ELCCOLXX03,2032,405.1
GLOBAL,ELCCOLXX03,2033,418.46
GLOBAL,ELCCOLXX03,2034,432.32
GLOBAL,ELCCOLXX03,2035,446.67
GLOBAL,ELCCOLXX03,2036,459.98
GLOBAL,ELCCOLXX03,2037,477.37
GLOBAL,ELCCOLXX03,2038,493.17
GLOBAL,ELCCOLXX03,2039,504.56
GLOBAL,ELCCOLXX03,2040,516.21
GLOBAL,ELCCOLXX03,2041,528.14
GLOBAL,ELCCOLXX03,2042,540.34
GLOBAL,ELCCOLXX03,2043,552.87
GLOBAL,ELCCOLXX03,2044,565.65
GLOBAL,ELCCOLXX03,2045,578.77
GLOBAL,ELCCOLXX03,2046,592.14
GLOBAL,ELCCOLXX03,2047,605.82
GLOBAL,ELCCOLXX03,2048,619.81
GLOBAL,ELCCOLXX03,2049,634.13
GLOBAL,ELCCOLXX03,2050,648.78
GLOBAL,ELCCRIXX03,2023,44.28
GLOBAL,ELCCRIXX03,2024,46.05
GLOBAL,ELCCRIXX03,2025,47.63
GLOBAL,ELCCRIXX03,2026,49.09
GLOBAL,ELCCRIXX03,2027,50.23
GLOBAL,ELCCRIXX03,2028,51.95
GLOBAL,ELCCRIXX03,2029,53.66
GLOBAL,ELCCRIXX03,2030,55.36
GLOBAL,ELCCRIXX03,2031,57.01
GLOBAL,ELCCRIXX03,2032,58.62
GLOBAL,ELCCRIXX03,2033,60.19
GLOBAL,ELCCRIXX03,2034,61.7
GLOBAL,ELCCRIXX03,2035,63.1
GLOBAL,ELCCRIXX03,2036,64.44
GLOBAL,ELCCRIXX03,2037,65.68
GLOBAL,ELCCRIXX03,2038,66.78
GLOBAL,ELCCRIXX03,2039,67.84
GLOBAL,ELCCRIXX03,2040,68.81
GLOBAL,ELCCRIXX03,2041,69.79
GLOBAL,ELCCRIXX03,2042,70.79
GLOBAL,ELCCRIXX03,2043,71.8
GLOBAL,ELCCRIXX03,2044,72.83
GLOBAL,ELCCRIXX03,2045,73.86
GLOBAL,ELCCRIXX03,2046,74.92
GLOBAL,ELCCRIXX03,2047,75.99
GLOBAL,ELCCRIXX03,2048,77.08
GLOBAL,ELCCRIXX03,2049,78.18
GLOBAL,ELCCRIXX03,2050,79.29
GLOBAL,ELCDOMXX03,2023,86.09
GLOBAL,ELCDOMXX03,2024,91.43
GLOBAL,ELCDOMXX03,2025,96.06
GLOBAL,ELCDOMXX03,2026,100.93
GLOBAL,ELCDOMXX03,2027,106.02
GLOBAL,ELCDOMXX03,2028,111.39
GLOBAL,ELCDOMXX03,2029,117.02
GLOBAL,ELCDOMXX03,2030,122.95
GLOBAL,ELCDOMXX03,2031,129.19
GLOBAL,ELCDOMXX03,2032,135.75
GLOBAL,ELCDOMXX03,2033,142.65
GLOBAL,ELCDOMXX03,2034,149.88
GLOBAL,ELCDOMXX03,2035,157.5
GLOBAL,ELCDOMXX03,2036,165.5
GLOBAL,ELCDOMXX03,2037,173.91
GLOBAL,ELCDOMXX03,2038,182.74
GLOBAL,ELCDOMXX03,2039,192.02
GLOBAL,ELCDOMXX03,2040,201.78
GLOBAL,ELCDOMXX03,2041,212.03
GLOBAL,ELCDOMXX03,2042,222.8
GLOBAL,ELCDOMXX03,2043,234.09
GLOBAL,ELCDOMXX03,2044,245.99
GLOBAL,ELCDOMXX03,2045,258.46
GLOBAL,ELCDOMXX03,2046,271.59
GLOBAL,ELCDOMXX03,2047,285.36
GLOBAL,ELCDOMXX03,2048,299.85
GLOBAL,ELCDOMXX03,2049,315.06
GLOBAL,ELCDOMXX03,2050,331.06
GLOBAL,ELCECUXX03,2023,129.57
GLOBAL,ELCECUXX03,2024,128.37
GLOBAL,ELCECUXX03,2025,141.99
GLOBAL,ELCECUXX03,2026,153.25
GLOBAL,ELCECUXX03,2027,161.68
GLOBAL,ELCECUXX03,2028,168.44
GLOBAL,ELCECUXX03,2029,175.6
GLOBAL,ELCECUXX03,2030,183.95
GLOBAL,ELCECUXX03,2031,192.77
GLOBAL,ELCECUXX03,2032,201.77
GLOBAL,ELCECUXX03,2033,211.19
GLOBAL,ELCECUXX03,2034,221.05
GLOBAL,ELCECUXX03,2035,231.38
GLOBAL,ELCECUXX03,2036,242.18
GLOBAL,ELCECUXX03,2037,253.49
GLOBAL,ELCECUXX03,2038,265.33
GLOBAL,ELCECUXX03,2039,277.72
GLOBAL,ELCECUXX03,2040,290.69
GLOBAL,ELCECUXX03,2041,304.26
GLOBAL,ELCECUXX03,2042,318.47
GLOBAL,ELCECUXX03,2043,333.35
GLOBAL,ELCECUXX03,2044,348.88
GLOBAL,ELCECUXX03,2045,365.17
GLOBAL,ELCECUXX03,2046,382.23
GLOBAL,ELCECUXX03,2047,400.08
GLOBAL,ELCECUXX03,2048,418.76
GLOBAL,ELCECUXX03,2049,438.32
GLOBAL,ELCECUXX03,2050,458.78
GLOBAL,ELCGTMXX03,2023,47.17
GLOBAL,ELCGTMXX03,2024,50.24
GLOBAL,ELCGTMXX03,2025,52.45
GLOBAL,ELCGTMXX03,2026,54.71
GLOBAL,ELCGTMXX03,2027,57.24
GLOBAL,ELCGTMXX03,2028,59.71
GLOBAL,ELCGTMXX03,2029,62.26
GLOBAL,ELCGTMXX03,2030,65.09
GLOBAL,ELCGTMXX03,2031,68.11
GLOBAL,ELCGTMXX03,2032,71.15
GLOBAL,ELCGTMXX03,2033,74.2
GLOBAL,ELCGTMXX03,2034,77.54
GLOBAL,ELCGTMXX03,2035,80.99
GLOBAL,ELCGTMXX03,2036,84.44
GLOBAL,ELCGTMXX03,2037,88.19
GLOBAL,ELCGTMXX03,2038,92.18
GLOBAL,ELCGTMXX03,2039,96.34
GLOBAL,ELCGTMXX03,2040,100.5
GLOBAL,ELCGTMXX03,2041,105.18
GLOBAL,ELCGTMXX03,2042,110.0
GLOBAL,ELCGTMXX03,2043,115.03
GLOBAL,ELCGTMXX03,2044,120.24
GLOBAL,ELCGTMXX03,2045,125.79
GLOBAL,ELCGTMXX03,2046,131.61
GLOBAL,ELCGTMXX03,2047,137.33
GLOBAL,ELCGTMXX03,2048,143.37
GLOBAL,ELCGTMXX03,2049,149.72
GLOBAL,ELCGTMXX03,2050,156.43
GLOBAL,ELCHNDXX03,2023,43.15
GLOBAL,ELCHNDXX03,2024,46.21
GLOBAL,ELCHNDXX03,2025,49.99
GLOBAL,ELCHNDXX03,2026,51.81
GLOBAL,ELCHNDXX03,2027,53.5
GLOBAL,ELCHNDXX03,2028,55.47
GLOBAL,ELCHNDXX03,2029,57.48
GLOBAL,ELCHNDXX03,2030,59.35
GLOBAL,ELCHNDXX03,2031,61.25
GLOBAL,ELCHNDXX03,2032,63.39
GLOBAL,ELCHNDXX03,2033,65.46
GLOBAL,ELCHNDXX03,2034,67.42
GLOBAL,ELCHNDXX03,2035,69.54
GLOBAL,ELCHNDXX03,2036,73.22
GLOBAL,ELCHNDXX03,2037,75.4
GLOBAL,ELCHNDXX03,2038,77.57
GLOBAL,ELCHNDXX03,2039,79.94
GLOBAL,ELCHNDXX03,2040,82.38
GLOBAL,ELCHNDXX03,2041,84.89
GLOBAL,ELCHNDXX03,2042,87.48
GLOBAL,ELCHNDXX03,2043,90.14
GLOBAL,ELCHNDXX03,2044,92.89
GLOBAL,ELCHNDXX03,2045,95.71
GLOBAL,ELCHNDXX03,2046,98.63
GLOBAL,ELCHNDXX03,2047,101.63
GLOBAL,ELCHNDXX03,2048,104.72
GLOBAL,ELCHNDXX03,2049,107.9
GLOBAL,ELCHNDXX03,2050,111.19
GLOBAL,ELCHTIXX03,2023,3.13
GLOBAL,ELCHTIXX03,2024,3.35
GLOBAL,ELCHTIXX03,2025,6.67
GLOBAL,ELCHTIXX03,2026,6.98
GLOBAL,ELCHTIXX03,2027,7.31
GLOBAL,ELCHTIXX03,2028,7.65
GLOBAL,ELCHTIXX03,2029,8.01
GLOBAL,ELCHTIXX03,2030,8.38
GLOBAL,ELCHTIXX03,2031,8.76
GLOBAL,ELCHTIXX03,2032,9.16
GLOBAL,ELCHTIXX03,2033,9.58
GLOBAL,ELCHTIXX03,2034,10.01
GLOBAL,ELCHTIXX03,2035,10.46
GLOBAL,ELCHTIXX03,2036,10.95
GLOBAL,ELCHTIXX03,2037,11.45
GLOBAL,ELCHTIXX03,2038,11.97
GLOBAL,ELCHTIXX03,2039,12.51
GLOBAL,ELCHTIXX03,2040,13.06
GLOBAL,ELCHTIXX03,2041,13.63
GLOBAL,ELCHTIXX03,2042,14.22
GLOBAL,ELCHTIXX03,2043,14.82
GLOBAL,ELCHTIXX03,2044,15.45
GLOBAL,ELCHTIXX03,2045,16.09
GLOBAL,ELCHTIXX03,2046,16.75
GLOBAL,ELCHTIXX03,2047,17.43
GLOBAL,ELCHTIXX03,2048,18.13
GLOBAL,ELCHTIXX03,2049,18.85
GLOBAL,ELCHTIXX03,2050,19.59
GLOBAL,ELCMEXXX03,2023,1241.42
GLOBAL,ELCMEXXX03,2024,1321.7
GLOBAL,ELCMEXXX03,2025,1360.03
GLOBAL,ELCMEXXX03,2026,1399.47
GLOBAL,ELCMEXXX03,2027,1440.05
GLOBAL,ELCMEXXX03,2028,1481.82
GLOBAL,ELCMEXXX03,2029,1524.79
GLOBAL,ELCMEXXX03,2030,1569.01
GLOBAL,ELCMEXXX03,2031,1614.51
GLOBAL,ELCMEXXX03,2032,1661.33
GLOBAL,ELCMEXXX03,2033,1709.51
GLOBAL,ELCMEXXX03,2034,1759.08
GLOBAL,ELCMEXXX03,2035,1810.1
GLOBAL,ELCMEXXX03,2036,1862.59
GLOBAL,ELCMEXXX03,2037,1916.61
GLOBAL,ELCMEXXX03,2038,1972.19
GLOBAL,ELCMEXXX03,2039,2029.38
GLOBAL,ELCMEXXX03,2040,2088.23
GLOBAL,ELCMEXXX03,2041,2148.79
GLOBAL,ELCMEXXX03,2042,2211.11
GLOBAL,ELCMEXXX03,2043,2275.23
GLOBAL,ELCMEXXX03,2044,2341.21
GLOBAL,ELCMEXXX03,2045,2409.11
GLOBAL,ELCMEXXX03,2046,2478.97
GLOBAL,ELCMEXXX03,2047,2550.86
GLOBAL,ELCMEXXX03,2048,2624.83
GLOBAL,ELCMEXXX03,2049,2700.95
GLOBAL,ELCMEXXX03,2050,2779.28
GLOBAL,ELCNICXX03,2023,20.33
GLOBAL,ELCNICXX03,2024,23.37
GLOBAL,ELCNICXX03,2025,24.05
GLOBAL,ELCNICXX03,2026,24.83
GLOBAL,ELCNICXX03,2027,25.71
GLOBAL,ELCNICXX03,2028,26.66
GLOBAL,ELCNICXX03,2029,27.68
