REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOARGXX,2023,2150.0
GLOBAL,PWRBIOARGXX,2024,2150.0
GLOBAL,PWRBIOARGXX,2025,2150.0
GLOBAL,PWRBIOARGXX,2026,2150.0
GLOBAL,PWRBIOARGXX,2027,2150.0
GLOBAL,PWRBIOARGXX,2028,2150.0
GLOBAL,PWRBIOARGXX,2029,2150.0
GLOBAL,PWRBIOARGXX,2030,2150.0
GLOBAL,PWRBIOARGXX,2031,2150.0
GLOBAL,PWRBIOARGXX,2032,2150.0
GLOBAL,PWRBIOARGXX,2033,2150.0
GLOBAL,PWRBIOARGXX,2034,2150.0
GLOBAL,PWRBIOARGXX,2035,2150.0
GLOBAL,PWRBIOARGXX,2036,2150.0
GLOBAL,PWRBIOARGXX,2037,2150.0
GLOBAL,PWRBIOARGXX,2038,2150.0
GLOBAL,PWRBIOARGXX,2039,2150.0
GLOBAL,PWRBIOARGXX,2040,2150.0
GLOBAL,PWRBIOARGXX,2041,2150.0
GLOBAL,PWRBIOARGXX,2042,2150.0
GLOBAL,PWRBIOARGXX,2043,2150.0
GLOBAL,PWRBIOARGXX,2044,2150.0
GLOBAL,PWRBIOARGXX,2045,2150.0
GLOBAL,PWRBIOARGXX,2046,2150.0
GLOBAL,PWRBIOARGXX,2047,2150.0
GLOBAL,PWRBIOARGXX,2048,2150.0
GLOBAL,PWRBIOARGXX,2049,2150.0
GLOBAL,PWRBIOARGXX,2050,2150.0
GLOBAL,PWRBIOBOLXX,2023,2150.0
GLOBAL,PWRBIOBOLXX,2024,2150.0
GLOBAL,PWRBIOBOLXX,2025,2150.0
GLOBAL,PWRBIOBOLXX,2026,2150.0
GLOBAL,PWRBIOBOLXX,2027,2150.0
GLOBAL,PWRBIOBOLXX,2028,2150.0
GLOBAL,PWRBIOBOLXX,2029,2150.0
GLOBAL,PWRBIOBOLXX,2030,2150.0
GLOBAL,PWRBIOBOLXX,2031,2150.0
GLOBAL,PWRBIOBOLXX,2032,2150.0
GLOBAL,PWRBIOBOLXX,2033,2150.0
GLOBAL,PWRBIOBOLXX,2034,2150.0
GLOBAL,PWRBIOBOLXX,2035,2150.0
GLOBAL,PWRBIOBOLXX,2036,2150.0
GLOBAL,PWRBIOBOLXX,2037,2150.0
GLOBAL,PWRBIOBOLXX,2038,2150.0
GLOBAL,PWRBIOBOLXX,2039,2150.0
GLOBAL,PWRBIOBOLXX,2040,2150.0
GLOBAL,PWRBIOBOLXX,2041,2150.0
GLOBAL,PWRBIOBOLXX,2042,2150.0
GLOBAL,PWRBIOBOLXX,2043,2150.0
GLOBAL,PWRBIOBOLXX,2044,2150.0
GLOBAL,PWRBIOBOLXX,2045,2150.0
GLOBAL,PWRBIOBOLXX,2046,2150.0
GLOBAL,PWRBIOBOLXX,2047,2150.0
GLOBAL,PWRBIOBOLXX,2048,2150.0
GLOBAL,PWRBIOBOLXX,2049,2150.0
GLOBAL,PWRBIOBOLXX,2050,2150.0
GLOBAL,PWRBIOBRAXX,2023,2150.0
GLOBAL,PWRBIOBRAXX,2024,2150.0
GLOBAL,PWRBIOBRAXX,2025,2150.0
GLOBAL,PWRBIOBRAXX,2026,2150.0
GLOBAL,PWRBIOBRAXX,2027,2150.0
GLOBAL,PWRBIOBRAXX,2028,2150.0
GLOBAL,PWRBIOBRAXX,2029,2150.0
GLOBAL,PWRBIOBRAXX,2030,2150.0
GLOBAL,PWRBIOBRAXX,2031,2150.0
GLOBAL,PWRBIOBRAXX,2032,2150.0
GLOBAL,PWRBIOBRAXX,2033,2150.0
GLOBAL,PWRBIOBRAXX,2034,2150.0
GLOBAL,PWRBIOBRAXX,2035,2150.0
GLOBAL,PWRBIOBRAXX,2036,2150.0
GLOBAL,PWRBIOBRAXX,2037,2150.0
GLOBAL,PWRBIOBRAXX,2038,2150.0
GLOBAL,PWRBIOBRAXX,2039,2150.0
GLOBAL,PWRBIOBRAXX,2040,2150.0
GLOBAL,PWRBIOBRAXX,2041,2150.0
GLOBAL,PWRBIOBRAXX,2042,2150.0
GLOBAL,PWRBIOBRAXX,2043,2150.0
GLOBAL,PWRBIOBRAXX,2044,2150.0
GLOBAL,PWRBIOBRAXX,2045,2150.0
GLOBAL,PWRBIOBRAXX,2046,2150.0
GLOBAL,PWRBIOBRAXX,2047,2150.0
GLOBAL,PWRBIOBRAXX,2048,2150.0
GLOBAL,PWRBIOBRAXX,2049,2150.0
GLOBAL,PWRBIOBRAXX,2050,2150.0
GLOBAL,PWRBIOCHLXX,2023,2150.0
GLOBAL,PWRBIOCHLXX,2024,2150.0
GLOBAL,PWRBIOCHLXX,2025,2150.0
GLOBAL,PWRBIOCHLXX,2026,2150.0
GLOBAL,PWRBIOCHLXX,2027,2150.0
GLOBAL,PWRBIOCHLXX,2028,2150.0
GLOBAL,PWRBIOCHLXX,2029,2150.0
GLOBAL,PWRBIOCHLXX,2030,2150.0
GLOBAL,PWRBIOCHLXX,2031,2150.0
GLOBAL,PWRBIOCHLXX,2032,2150.0
GLOBAL,PWRBIOCHLXX,2033,2150.0
GLOBAL,PWRBIOCHLXX,2034,2150.0
GLOBAL,PWRBIOCHLXX,2035,2150.0
GLOBAL,PWRBIOCHLXX,2036,2150.0
GLOBAL,PWRBIOCHLXX,2037,2150.0
GLOBAL,PWRBIOCHLXX,2038,2150.0
GLOBAL,PWRBIOCHLXX,2039,2150.0
GLOBAL,PWRBIOCHLXX,2040,2150.0
GLOBAL,PWRBIOCHLXX,2041,2150.0
GLOBAL,PWRBIOCHLXX,2042,2150.0
GLOBAL,PWRBIOCHLXX,2043,2150.0
GLOBAL,PWRBIOCHLXX,2044,2150.0
GLOBAL,PWRBIOCHLXX,2045,2150.0
GLOBAL,PWRBIOCHLXX,2046,2150.0
GLOBAL,PWRBIOCHLXX,2047,2150.0
GLOBAL,PWRBIOCHLXX,2048,2150.0
GLOBAL,PWRBIOCHLXX,2049,2150.0
GLOBAL,PWRBIOCHLXX,2050,2150.0
GLOBAL,PWRBIOCOLXX,2023,2150.0
GLOBAL,PWRBIOCOLXX,2024,2150.0
GLOBAL,PWRBIOCOLXX,2025,2150.0
GLOBAL,PWRBIOCOLXX,2026,2150.0
GLOBAL,PWRBIOCOLXX,2027,2150.0
GLOBAL,PWRBIOCOLXX,2028,2150.0
GLOBAL,PWRBIOCOLXX,2029,2150.0
GLOBAL,PWRBIOCOLXX,2030,2150.0
GLOBAL,PWRBIOCOLXX,2031,2150.0
GLOBAL,PWRBIOCOLXX,2032,2150.0
GLOBAL,PWRBIOCOLXX,2033,2150.0
GLOBAL,PWRBIOCOLXX,2034,2150.0
GLOBAL,PWRBIOCOLXX,2035,2150.0
GLOBAL,PWRBIOCOLXX,2036,2150.0
GLOBAL,PWRBIOCOLXX,2037,2150.0
GLOBAL,PWRBIOCOLXX,2038,2150.0
GLOBAL,PWRBIOCOLXX,2039,2150.0
GLOBAL,PWRBIOCOLXX,2040,2150.0
GLOBAL,PWRBIOCOLXX,2041,2150.0
GLOBAL,PWRBIOCOLXX,2042,2150.0
GLOBAL,PWRBIOCOLXX,2043,2150.0
GLOBAL,PWRBIOCOLXX,2044,2150.0
GLOBAL,PWRBIOCOLXX,2045,2150.0
GLOBAL,PWRBIOCOLXX,2046,2150.0
GLOBAL,PWRBIOCOLXX,2047,2150.0
GLOBAL,PWRBIOCOLXX,2048,2150.0
GLOBAL,PWRBIOCOLXX,2049,2150.0
GLOBAL,PWRBIOCOLXX,2050,2150.0
GLOBAL,PWRBIOCRIXX,2023,2400.0
GLOBAL,PWRBIOCRIXX,2024,2400.0
GLOBAL,PWRBIOCRIXX,2025,2400.0
GLOBAL,PWRBIOCRIXX,2026,2400.0
