REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGINDSO00,2023,0.0
GLOBAL,PWRCCGINDSO00,2024,0.0
GLOBAL,PWRCCGINDSO00,2025,0.0
GLOBAL,PWRCCGINDSO00,2026,0.0
GLOBAL,PWRCCGINDSO00,2027,0.0
GLOBAL,PWRCCGINDSO00,2028,0.0
GLOBAL,PWRCCGINDSO00,2029,0.0
GLOBAL,PWRCCGINDSO00,2030,0.0
GLOBAL,PWRCCGINDSO00,2031,0.0
GLOBAL,PWRCCGINDSO00,2032,0.0
GLOBAL,PWRCCGINDSO00,2033,0.0
GLOBAL,PWRCCGINDSO00,2034,0.0
GLOBAL,PWRCCGINDSO00,2035,0.0
GLOBAL,PWRCCGINDSO00,2036,0.0
GLOBAL,PWRCCGINDSO00,2037,0.0
GLOBAL,PWRCCGINDSO00,2038,0.0
GLOBAL,PWRCCGINDSO00,2039,0.0
GLOBAL,PWRCCGINDSO00,2040,0.0
GLOBAL,PWRCCGINDSO00,2041,0.0
GLOBAL,PWRCCGINDSO00,2042,0.0
GLOBAL,PWRCCGINDSO00,2043,0.0
GLOBAL,PWRCCGINDSO00,2044,0.0
GLOBAL,PWRCCGINDSO00,2045,0.0
GLOBAL,PWRCCGINDSO00,2046,0.0
GLOBAL,PWRCCGINDSO00,2047,0.0
GLOBAL,PWRCCGINDSO00,2048,0.0
GLOBAL,PWRCCGINDSO00,2049,0.0
GLOBAL,PWRCCGINDSO00,2050,0.0
GLOBAL,PWRCCGINDEA00,2023,0.0
GLOBAL,PWRCCGINDEA00,2024,0.0
GLOBAL,PWRCCGINDEA00,2025,0.0
GLOBAL,PWRCCGINDEA00,2026,0.0
GLOBAL,PWRCCGINDEA00,2027,0.0
GLOBAL,PWRCCGINDEA00,2028,0.0
GLOBAL,PWRCCGINDEA00,2029,0.0
GLOBAL,PWRCCGINDEA00,2030,0.0
GLOBAL,PWRCCGINDEA00,2031,0.0
